iter	Passed	Remaining
0	105	31515
1	113	16855
2	119	11801
3	125	9251
4	130	7718
5	136	6667
6	141	5936
7	147	5379
8	153	4956
9	160	4640
10	165	4359
11	171	4117
12	176	3906
13	182	3719
14	187	3562
15	193	3428
16	199	3314
17	204	3206
18	210	3113
19	216	3024
20	221	2938
21	227	2871
22	232	2802
23	238	2744
24	244	2691
25	250	2639
26	256	2588
27	261	2540
28	267	2498
29	272	2453
30	277	2412
31	283	2377
32	289	2339
33	294	2306
34	299	2270
35	305	2241
36	311	2212
37	317	2185
38	323	2163
39	328	2135
40	333	2109
41	339	2085
42	344	2061
43	350	2037
44	355	2017
45	361	1994
46	366	1974
47	372	1957
48	378	1937
49	384	1921
50	390	1904
51	395	1884
52	400	1866
53	405	1849
54	411	1832
55	417	1819
56	423	1805
57	428	1789
58	434	1774
59	440	1760
60	444	1743
61	450	1728
62	456	1716
63	461	1700
64	466	1687
65	472	1676
66	477	1661
67	484	1651
68	490	1641
69	495	1627
70	501	1618
71	507	1606
72	513	1596
73	519	1586
74	524	1573
75	529	1561
76	536	1553
77	542	1543
78	547	1532
79	553	1521
80	559	1512
81	566	1506
82	572	1497
83	578	1487
84	584	1478
85	589	1467
86	595	1456
87	601	1448
88	607	1439
89	613	1430
90	618	1421
91	624	1410
92	630	1402
93	635	1393
94	641	1385
95	648	1378
96	655	1372
97	663	1366
98	670	1361
99	677	1354
100	683	1346
101	690	1339
102	697	1333
103	702	1324
104	708	1315
105	714	1308
106	721	1300
107	727	1292
108	732	1283
109	737	1274
110	743	1265
111	750	1259
112	756	1252
113	763	1245
114	769	1238
115	775	1230
116	782	1223
117	788	1216
118	794	1208
119	800	1200
120	805	1191
121	811	1183
122	816	1174
123	821	1166
124	827	1158
125	833	1150
126	838	1142
127	843	1133
128	849	1125
129	855	1118
130	861	1111
131	867	1104
132	872	1096
133	878	1088
134	883	1080
135	889	1072
136	895	1065
137	901	1058
138	906	1050
139	912	1042
140	917	1034
141	924	1028
142	930	1021
143	936	1014
144	941	1006
145	948	1000
146	953	992
147	958	984
148	964	977
149	970	970
150	975	962
151	981	955
152	987	948
153	992	940
154	997	932
155	1002	925
156	1007	918
157	1013	911
158	1019	904
159	1025	897
160	1031	890
161	1036	882
162	1041	875
163	1046	868
164	1052	861
165	1058	854
166	1064	847
167	1070	840
168	1076	834
169	1082	827
170	1087	820
171	1092	813
172	1098	806
173	1104	800
174	1110	792
175	1115	786
176	1122	779
177	1128	773
178	1134	766
179	1139	759
180	1145	752
181	1150	745
182	1156	739
183	1161	732
184	1167	725
185	1173	719
186	1178	712
187	1184	705
188	1190	698
189	1195	692
190	1201	685
191	1207	679
192	1212	672
193	1218	665
194	1225	659
195	1230	653
196	1236	646
197	1241	639
198	1246	632
199	1252	626
200	1257	619
201	1263	612
202	1268	606
203	1274	599
204	1280	593
205	1287	587
206	1292	580
207	1298	574
208	1304	567
209	1310	561
210	1316	555
211	1321	548
212	1327	542
213	1333	535
214	1338	529
215	1344	522
216	1349	516
217	1354	509
218	1360	503
219	1366	496
220	1371	490
221	1376	483
222	1382	477
223	1387	470
224	1392	464
225	1398	457
226	1405	451
227	1410	445
228	1416	439
229	1421	432
230	1427	426
231	1433	420
232	1438	413
233	1444	407
234	1449	401
235	1455	394
236	1459	388
237	1465	381
238	1471	375
239	1477	369
240	1483	363
241	1489	356
242	1495	350
243	1501	344
244	1506	338
245	1511	331
246	1517	325
247	1523	319
248	1529	313
249	1535	307
250	1541	300
251	1546	294
252	1551	288
253	1557	282
254	1563	275
255	1568	269
256	1574	263
257	1579	257
258	1584	250
259	1590	244
260	1595	238
261	1601	232
262	1606	226
263	1612	219
264	1618	213
265	1624	207
266	1630	201
267	1635	195
268	1641	189
269	1646	182
270	1652	176
271	1657	170
272	1663	164
273	1669	158
274	1676	152
275	1682	146
276	1687	140
277	1693	133
278	1700	127
279	1707	121
280	1713	115
281	1719	109
282	1725	103
283	1731	97
284	1736	91
285	1741	85
286	1747	79
287	1752	73
288	1758	66
289	1763	60
290	1768	54
291	1773	48
292	1779	42
293	1785	36
294	1791	30
295	1797	24
296	1802	18
297	1807	12
298	1813	6
299	1819	0
