lead_id,company,status,lead_source,lead_owner_id,company_norm,user_id,owner_role,owner_department,owner_is_active,task_count,open_task_count,closed_task_count,high_priority_task_count,account_id,account_number,account_owner_id,account_type,account_industry,account_annual_revenue,account_employee_count,account_billing_city,account_billing_state,account_billing_country,account_created_date,account_is_active,contact_count,primary_contact_count,unique_contact_departments,unique_contact_titles,lead_source_contact_mode,account_event_count,account_demo_count,account_meeting_count,account_onsite_count,account_qbr_count,contact_event_count,contact_demo_count,contact_meeting_count,contact_qbr_count,last_contact_event_date,lead_age_days,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity,days_since_last_contact_created,days_since_last_account_event,lead_is_converted
00QFZ0p4yMbuMejsyI,Harbor Systems,Open,Web,005IAWyyPlUBLQDIva,harbor systems,005IAWyyPlUBLQDIva,SDR,Sales,1,3,2,1,0,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,603,390,-533.0,-539.0,,,1
00QaaO3OtUqFSZCP58,BlueSky Group,Nurturing,Outbound,0052vuTGNhPaf9DJtR,bluesky group,0052vuTGNhPaf9DJtR,SDR,Sales,1,1,0,1,0,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,262,-156,846.0,836.0,,,1
00QgIX9oAT2XliVCRm,Clearwater Services,Open,Partner Referral,005gvRs74Xd8fUlA3x,clearwater services,005gvRs74Xd8fUlA3x,BDR,Sales,1,6,3,3,4,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,735,915,-678.0,-693.0,,,0
00Q5CfGZnEgZ6YRPV8,Cobalt Health,Nurturing,Outbound,005xi0Xi0wCwuciNbG,cobalt health,005xi0Xi0wCwuciNbG,SDR,Sales,1,4,1,3,2,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,247,1176,245.0,223.0,,,1
00Q55Tgh78kMZqYwB5,Harbor Financial,Nurturing,Outbound,005ATkmG7VSdpihf48,harbor financial,005ATkmG7VSdpihf48,SDR,Sales,1,2,1,1,1,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,1298,-1108,-1039.0,-1050.0,,,1
00Q0WjI6XjSJyB7OnE,Vertex Energy,Open,Trade Show,005O8TxStNstfUeWj7,vertex energy,005O8TxStNstfUeWj7,BDR,Sales,1,2,1,1,1,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,1146,398,-967.0,-989.0,,,0
00Q617zGeP3kxsWMuZ,Cobalt Logistics,Working,Outbound,005DJJzk8TFPHjwamm,cobalt logistics,005DJJzk8TFPHjwamm,BDR,Sales,1,0,0,0,0,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,680,855,,,,,1
00QeC84tDaaUV5hNj0,Lighthouse Services,Qualified,Trade Show,005CS61es1IwtecnA5,lighthouse services,005CS61es1IwtecnA5,SDR,Sales,1,5,1,4,1,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,1328,-1250,-1201.0,-1209.0,,,0
00QiBhgDcG6VNS1k0c,Redwood Systems,Qualified,Trade Show,005mYnZlHWW2dnL0rt,redwood systems,005mYnZlHWW2dnL0rt,BDR,Sales,1,6,3,3,2,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,731,824,-66.0,-93.0,,,0
00QWYpfciSoDEU5L7n,Summit Consulting,Open,Outbound,005EhkAnpKcWuNovJ6,summit consulting,005EhkAnpKcWuNovJ6,BDR,Sales,1,7,2,5,3,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,844,-85,-740.0,-742.0,,,1
00QDMTqYv9Vd9Cs40b,BlueSky Media,Working,Trade Show,005scUETCztHB2VpGr,bluesky media,005scUETCztHB2VpGr,SDR,Sales,1,6,3,3,1,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,786,768,-407.0,-412.0,,,1
00QKGj24dcFTS03VaM,Lighthouse Group,Working,Trade Show,005H18uJWTVdyNheWe,lighthouse group,005H18uJWTVdyNheWe,BDR,Sales,1,1,1,0,1,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,84,31,1142.0,1120.0,,,0
00Qe1V1OMLvGElJzOS,Ironwood Labs,Nurturing,Trade Show,005YJKL1sxnz5KucCa,ironwood labs,005YJKL1sxnz5KucCa,SDR,Sales,1,3,3,0,0,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,11,651,183.0,159.0,,,1
00QXm0VRO1QZn0nLwE,Cobalt Health,Open,Partner Referral,0051FeBviD8WOpEx9p,cobalt health,0051FeBviD8WOpEx9p,SDR,Sales,1,3,2,1,0,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,1,-3,43.0,25.0,,,0
00Q0XwK8wWcWV6uGmY,Oakridge Financial,Nurturing,Trade Show,005PsOTr02Fp2pwCFZ,oakridge financial,005PsOTr02Fp2pwCFZ,BDR,Sales,1,5,3,2,0,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,240,452,-96.0,-117.0,,,0
00QnDh24BcTQx3JfF6,Cobalt Logistics,Open,Trade Show,005kGz3iLXUMdHQq3f,cobalt logistics,005kGz3iLXUMdHQq3f,SDR,Sales,1,9,3,6,2,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,526,470,-425.0,-432.0,,,1
00QefRYgJH39xJoI99,Stratus Financial,Open,Inbound,005PcnSwvycOiPT9zy,stratus financial,005PcnSwvycOiPT9zy,SDR,Sales,1,3,2,1,0,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,155,721,477.0,458.0,,,0
00Qj4JMTf2UemZuxX0,Redwood Manufacturing,Working,Partner Referral,005Fg6NzJiUZlow1pr,redwood manufacturing,005Fg6NzJiUZlow1pr,BDR,Sales,1,1,1,0,1,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,127,1106,978.0,977.0,,,1
00QRTD8lGurGWe3T02,Stratus Technologies,Working,Inbound,00566La41L76C1ZyfL,stratus technologies,00566La41L76C1ZyfL,SDR,Sales,1,1,0,1,1,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,643,806,687.0,665.0,,,1
00QNUSBfvbxilaustZ,Clearwater Services,Nurturing,Trade Show,005U1cnD3W8AfIM0Y9,clearwater services,005U1cnD3W8AfIM0Y9,BDR,Sales,1,3,3,0,3,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,548,518,-135.0,-142.0,,,1
00QmCzeMbl7TN3cJwO,Evergreen Group,Nurturing,Partner Referral,005zWOoMnQrwuxqr1I,evergreen group,005zWOoMnQrwuxqr1I,SDR,Sales,1,1,1,0,1,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,1425,-223,-1416.0,-1418.0,,,1
00QU4Yf3DIMVHJSRj9,Pinnacle Retail,Nurturing,Event,005Fg6NzJiUZlow1pr,pinnacle retail,005Fg6NzJiUZlow1pr,BDR,Sales,1,9,4,5,3,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,1049,184,-570.0,-576.0,,,1
00QC0On1nmh0BDHAZk,Oakridge Logistics,Open,Outbound,005T3CcQW30Fc3HxzP,oakridge logistics,005T3CcQW30Fc3HxzP,BDR,Sales,1,0,0,0,0,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,712,-367,,,,,1
00QJ4xOITYzhRRlpdQ,Cobalt Retail,Open,Trade Show,005wBTdruibiY0OPdW,cobalt retail,005wBTdruibiY0OPdW,AE,Sales,1,2,0,2,2,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,434,-201,-338.0,-354.0,,,1
00QmeqE2bZxjVWpF5A,Northstar Foods,Working,Web,005w1rZfJkoRoaYcEo,northstar foods,005w1rZfJkoRoaYcEo,BDR,Sales,1,3,2,1,1,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,1090,453,-251.0,-256.0,,,1
00QwD4AbOLHUB28g32,Harbor Partners,Qualified,Partner Referral,0052vuTGNhPaf9DJtR,harbor partners,0052vuTGNhPaf9DJtR,SDR,Sales,1,4,1,3,2,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,556,-450,-354.0,-369.0,,,1
00QmnLvYbKMKf7ZpnC,Lighthouse Logistics,Open,Outbound,005nz6ixedb0ulRU2P,lighthouse logistics,005nz6ixedb0ulRU2P,BDR,Sales,1,4,4,0,3,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,251,1366,131.0,115.0,,,0
00QtbWarz2LXhdRMp9,Cobalt Services,Qualified,Inbound,005ponU3oUJcEecoTy,cobalt services,005ponU3oUJcEecoTy,AE,Sales,1,3,2,1,1,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,1342,-864,-1260.0,-1279.0,,,0
00QCVcpxy5dpa9atyC,Ironwood Technologies,Qualified,Event,005BLRswT6VWAL3Jkq,ironwood technologies,005BLRswT6VWAL3Jkq,BDR,Sales,1,4,2,2,1,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,1124,-388,-771.0,-792.0,,,0
00QSlPdFuUYIixQWDe,Northstar Software,Qualified,Trade Show,005SW3xD3pVRHzXb4Z,northstar software,005SW3xD3pVRHzXb4Z,SDR,Sales,1,6,4,2,4,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,147,1291,-163.0,-174.0,,,1
00QDF1f4iyVQsSfkiZ,BlueSky Manufacturing,Working,Web,005EF1FFbGvvXzIjDl,bluesky manufacturing,005EF1FFbGvvXzIjDl,SDR,Sales,1,4,2,2,1,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,318,748,73.0,51.0,,,0
00Q7BtuxGFFw2Z2H85,Oakridge Technologies,Nurturing,Inbound,005aV0dZauGUbUqQX9,oakridge technologies,005aV0dZauGUbUqQX9,SDR,Sales,1,4,3,1,1,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,1006,-778,-985.0,-1013.0,,,0
00QRvVwqQ0a1gqch8f,Pinnacle Partners,Nurturing,Web,005SotgxabsZFoiinJ,pinnacle partners,005SotgxabsZFoiinJ,BDR,Sales,1,6,3,3,1,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,271,213,-113.0,-135.0,,,1
00QUuvI1xZd2lXuBAv,Evergreen Services,Nurturing,Event,005ZgXPYFXOBU7G1tp,evergreen services,005ZgXPYFXOBU7G1tp,BDR,Sales,1,7,4,3,2,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,468,134,-182.0,-200.0,,,1
00QsTlAV6S1PUxPZx7,Summit Technologies,Open,Inbound,005Cu36WnbRoy8DEqo,summit technologies,005Cu36WnbRoy8DEqo,SDR,Sales,1,4,0,4,1,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,763,-16,-621.0,-642.0,,,0
00QW654uAh6OXDtuYN,Evergreen Labs,Qualified,Inbound,005Jf9CIg9lV3G32cG,evergreen labs,005Jf9CIg9lV3G32cG,BDR,Sales,1,2,1,1,0,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,807,186,-27.0,-48.0,,,0
00QpGX0unNfc0SHT4r,Stratus Group,Working,Partner Referral,005r9q3iIp3WHLiZhI,stratus group,005r9q3iIp3WHLiZhI,SDR,Sales,1,2,1,1,0,,,,,,,,,,,,,0,0,,,,0,0,0,0,0,0,0,0,0,,1195,211,-796.0,-808.0,,,1
