status,lead_source,lead_owner_id,owner_role,owner_department,owner_is_active,task_count,open_task_count,closed_task_count,high_priority_task_count,lead_age_days,lead_is_converted,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity
Open,Web,005IAWyyPlUBLQDIva,SDR,Sales,1,3,2,1,0,603,1,390,-533.0,-539.0
Nurturing,Outbound,0052vuTGNhPaf9DJtR,SDR,Sales,1,1,0,1,0,262,1,-156,846.0,836.0
Open,Partner Referral,005gvRs74Xd8fUlA3x,BDR,Sales,1,6,3,3,4,735,0,915,-678.0,-693.0
Nurturing,Outbound,005xi0Xi0wCwuciNbG,SDR,Sales,1,4,1,3,2,247,1,1176,245.0,223.0
Nurturing,Outbound,005ATkmG7VSdpihf48,SDR,Sales,1,2,1,1,1,1298,1,-1108,-1039.0,-1050.0
Open,Trade Show,005O8TxStNstfUeWj7,BDR,Sales,1,2,1,1,1,1146,0,398,-967.0,-989.0
Working,Outbound,005DJJzk8TFPHjwamm,BDR,Sales,1,0,0,0,0,680,1,855,,
Qualified,Trade Show,005CS61es1IwtecnA5,SDR,Sales,1,5,1,4,1,1328,0,-1250,-1201.0,-1209.0
Qualified,Trade Show,005mYnZlHWW2dnL0rt,BDR,Sales,1,6,3,3,2,731,0,824,-66.0,-93.0
Open,Outbound,005EhkAnpKcWuNovJ6,BDR,Sales,1,7,2,5,3,844,1,-85,-740.0,-742.0
Working,Trade Show,005scUETCztHB2VpGr,SDR,Sales,1,6,3,3,1,786,1,768,-407.0,-412.0
Working,Trade Show,005H18uJWTVdyNheWe,BDR,Sales,1,1,1,0,1,84,0,31,1142.0,1120.0
Nurturing,Trade Show,005YJKL1sxnz5KucCa,SDR,Sales,1,3,3,0,0,11,1,651,183.0,159.0
Open,Partner Referral,0051FeBviD8WOpEx9p,SDR,Sales,1,3,2,1,0,1,0,-3,43.0,25.0
Nurturing,Trade Show,005PsOTr02Fp2pwCFZ,BDR,Sales,1,5,3,2,0,240,0,452,-96.0,-117.0
Open,Trade Show,005kGz3iLXUMdHQq3f,SDR,Sales,1,9,3,6,2,526,1,470,-425.0,-432.0
Open,Inbound,005PcnSwvycOiPT9zy,SDR,Sales,1,3,2,1,0,155,0,721,477.0,458.0
Working,Partner Referral,005Fg6NzJiUZlow1pr,BDR,Sales,1,1,1,0,1,127,1,1106,978.0,977.0
Working,Inbound,00566La41L76C1ZyfL,SDR,Sales,1,1,0,1,1,643,1,806,687.0,665.0
Nurturing,Trade Show,005U1cnD3W8AfIM0Y9,BDR,Sales,1,3,3,0,3,548,1,518,-135.0,-142.0
Nurturing,Partner Referral,005zWOoMnQrwuxqr1I,SDR,Sales,1,1,1,0,1,1425,1,-223,-1416.0,-1418.0
Nurturing,Event,005Fg6NzJiUZlow1pr,BDR,Sales,1,9,4,5,3,1049,1,184,-570.0,-576.0
Open,Outbound,005T3CcQW30Fc3HxzP,BDR,Sales,1,0,0,0,0,712,1,-367,,
Open,Trade Show,005wBTdruibiY0OPdW,AE,Sales,1,2,0,2,2,434,1,-201,-338.0,-354.0
Working,Web,005w1rZfJkoRoaYcEo,BDR,Sales,1,3,2,1,1,1090,1,453,-251.0,-256.0
Qualified,Partner Referral,0052vuTGNhPaf9DJtR,SDR,Sales,1,4,1,3,2,556,1,-450,-354.0,-369.0
Open,Outbound,005nz6ixedb0ulRU2P,BDR,Sales,1,4,4,0,3,251,0,1366,131.0,115.0
Qualified,Inbound,005ponU3oUJcEecoTy,AE,Sales,1,3,2,1,1,1342,0,-864,-1260.0,-1279.0
Qualified,Event,005BLRswT6VWAL3Jkq,BDR,Sales,1,4,2,2,1,1124,0,-388,-771.0,-792.0
Qualified,Trade Show,005SW3xD3pVRHzXb4Z,SDR,Sales,1,6,4,2,4,147,1,1291,-163.0,-174.0
Working,Web,005EF1FFbGvvXzIjDl,SDR,Sales,1,4,2,2,1,318,0,748,73.0,51.0
Nurturing,Inbound,005aV0dZauGUbUqQX9,SDR,Sales,1,4,3,1,1,1006,0,-778,-985.0,-1013.0
Nurturing,Web,005SotgxabsZFoiinJ,BDR,Sales,1,6,3,3,1,271,1,213,-113.0,-135.0
Nurturing,Event,005ZgXPYFXOBU7G1tp,BDR,Sales,1,7,4,3,2,468,1,134,-182.0,-200.0
Open,Inbound,005Cu36WnbRoy8DEqo,SDR,Sales,1,4,0,4,1,763,0,-16,-621.0,-642.0
Qualified,Inbound,005Jf9CIg9lV3G32cG,BDR,Sales,1,2,1,1,0,807,0,186,-27.0,-48.0
Working,Partner Referral,005r9q3iIp3WHLiZhI,SDR,Sales,1,2,1,1,0,1195,1,211,-796.0,-808.0
Open,Partner Referral,005mzHykyCWibqXEgp,BDR,Sales,1,2,2,0,1,698,0,-84,-434.0,-458.0
Qualified,Partner Referral,005H18uJWTVdyNheWe,BDR,Sales,1,7,5,2,4,539,1,-424,73.0,66.0
Open,Trade Show,005mm9vtHx0K9TGlB7,SDR,Sales,1,4,1,3,4,329,1,225,-211.0,-213.0
Qualified,Trade Show,005vvizm5OfORbfBYV,SDR,Sales,1,3,2,1,1,1037,1,248,-774.0,-790.0
Nurturing,Trade Show,0052yGgxi1v4hCqV4x,SDR,Sales,1,3,1,2,2,1412,0,-231,-1117.0,-1135.0
Open,Web,005EhkAnpKcWuNovJ6,BDR,Sales,1,2,1,1,0,280,0,479,-140.0,-163.0
Open,Trade Show,005voBFvhNYadVKXTu,BDR,Sales,1,4,2,2,2,1409,1,-829,-1166.0,-1172.0
