status,lead_source,owner_role,owner_department,task_count,open_task_count,closed_task_count,high_priority_task_count,lead_age_days,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity,lead_is_converted
Open,Web,SDR,Sales,3,2,1,0,603,390,-533.0,-539.0,1
Nurturing,Outbound,SDR,Sales,1,0,1,0,262,-156,846.0,836.0,1
Open,Partner Referral,BDR,Sales,6,3,3,4,735,915,-678.0,-693.0,0
Nurturing,Outbound,SDR,Sales,4,1,3,2,247,1176,245.0,223.0,1
Nurturing,Outbound,SDR,Sales,2,1,1,1,1298,-1108,-1039.0,-1050.0,1
Open,Trade Show,BDR,Sales,2,1,1,1,1146,398,-967.0,-989.0,0
Working,Outbound,BDR,Sales,0,0,0,0,680,855,,,1
Qualified,Trade Show,SDR,Sales,5,1,4,1,1328,-1250,-1201.0,-1209.0,0
Qualified,Trade Show,BDR,Sales,6,3,3,2,731,824,-66.0,-93.0,0
Open,Outbound,BDR,Sales,7,2,5,3,844,-85,-740.0,-742.0,1
Working,Trade Show,SDR,Sales,6,3,3,1,786,768,-407.0,-412.0,1
Working,Trade Show,BDR,Sales,1,1,0,1,84,31,1142.0,1120.0,0
Nurturing,Trade Show,SDR,Sales,3,3,0,0,11,651,183.0,159.0,1
Open,Partner Referral,SDR,Sales,3,2,1,0,1,-3,43.0,25.0,0
Nurturing,Trade Show,BDR,Sales,5,3,2,0,240,452,-96.0,-117.0,0
Open,Trade Show,SDR,Sales,9,3,6,2,526,470,-425.0,-432.0,1
Open,Inbound,SDR,Sales,3,2,1,0,155,721,477.0,458.0,0
Working,Partner Referral,BDR,Sales,1,1,0,1,127,1106,978.0,977.0,1
Working,Inbound,SDR,Sales,1,0,1,1,643,806,687.0,665.0,1
Nurturing,Trade Show,BDR,Sales,3,3,0,3,548,518,-135.0,-142.0,1
Nurturing,Partner Referral,SDR,Sales,1,1,0,1,1425,-223,-1416.0,-1418.0,1
Nurturing,Event,BDR,Sales,9,4,5,3,1049,184,-570.0,-576.0,1
Open,Outbound,BDR,Sales,0,0,0,0,712,-367,,,1
Open,Trade Show,AE,Sales,2,0,2,2,434,-201,-338.0,-354.0,1
Working,Web,BDR,Sales,3,2,1,1,1090,453,-251.0,-256.0,1
Qualified,Partner Referral,SDR,Sales,4,1,3,2,556,-450,-354.0,-369.0,1
Open,Outbound,BDR,Sales,4,4,0,3,251,1366,131.0,115.0,0
Qualified,Inbound,AE,Sales,3,2,1,1,1342,-864,-1260.0,-1279.0,0
Qualified,Event,BDR,Sales,4,2,2,1,1124,-388,-771.0,-792.0,0
Qualified,Trade Show,SDR,Sales,6,4,2,4,147,1291,-163.0,-174.0,1
Working,Web,SDR,Sales,4,2,2,1,318,748,73.0,51.0,0
Nurturing,Inbound,SDR,Sales,4,3,1,1,1006,-778,-985.0,-1013.0,0
Nurturing,Web,BDR,Sales,6,3,3,1,271,213,-113.0,-135.0,1
Nurturing,Event,BDR,Sales,7,4,3,2,468,134,-182.0,-200.0,1
Open,Inbound,SDR,Sales,4,0,4,1,763,-16,-621.0,-642.0,0
Qualified,Inbound,BDR,Sales,2,1,1,0,807,186,-27.0,-48.0,0
Working,Partner Referral,SDR,Sales,2,1,1,0,1195,211,-796.0,-808.0,1
Open,Partner Referral,BDR,Sales,2,2,0,1,698,-84,-434.0,-458.0,0
Qualified,Partner Referral,BDR,Sales,7,5,2,4,539,-424,73.0,66.0,1
Open,Trade Show,SDR,Sales,4,1,3,4,329,225,-211.0,-213.0,1
Qualified,Trade Show,SDR,Sales,3,2,1,1,1037,248,-774.0,-790.0,1
Nurturing,Trade Show,SDR,Sales,3,1,2,2,1412,-231,-1117.0,-1135.0,0
Open,Web,BDR,Sales,2,1,1,0,280,479,-140.0,-163.0,0
Open,Trade Show,BDR,Sales,4,2,2,2,1409,-829,-1166.0,-1172.0,1
Working,Trade Show,SDR,Sales,3,2,1,0,449,1028,-63.0,-81.0,1
Qualified,Partner Referral,AE,Sales,6,3,3,2,545,439,-339.0,-366.0,0
Working,Outbound,SDR,Sales,7,5,2,5,48,711,21.0,-5.0,1
Open,Partner Referral,AE,Sales,5,3,2,1,1065,-545,-1034.0,-1045.0,1
Open,Outbound,BDR,Sales,2,2,0,1,504,-20,-408.0,-410.0,0
Working,Trade Show,SDR,Sales,1,1,0,0,812,-488,388.0,384.0,1
Working,Web,SDR,Sales,4,1,3,2,413,-130,-400.0,-419.0,0
Nurturing,Web,BDR,Sales,7,4,3,1,694,850,-646.0,-661.0,0
Qualified,Inbound,SDR,Sales,5,3,2,0,1090,-327,-907.0,-932.0,1
Working,Inbound,BDR,Sales,5,2,3,2,1362,-1129,-1368.0,-1383.0,1
Nurturing,Outbound,BDR,Sales,7,2,5,1,106,-78,49.0,39.0,0
Nurturing,Inbound,BDR,Sales,6,4,2,1,463,696,-421.0,-430.0,1
Working,Web,BDR,Sales,6,2,4,2,989,-688,-948.0,-974.0,0
Open,Web,BDR,Sales,3,0,3,0,824,191,-447.0,-453.0,1
Working,Outbound,BDR,Sales,5,3,2,0,702,618,-696.0,-710.0,1
Nurturing,Outbound,AE,Sales,3,2,1,2,1381,40,-808.0,-823.0,0
Working,Event,AE,Sales,1,0,1,0,1226,3,246.0,228.0,1
Qualified,Trade Show,SDR,Sales,0,0,0,0,254,186,,,1
Nurturing,Trade Show,SDR,Sales,4,3,1,0,778,403,-631.0,-659.0,1
Open,Inbound,BDR,Sales,3,3,0,2,225,1318,48.0,37.0,0
Nurturing,Trade Show,SDR,Sales,7,5,2,4,87,1198,-76.0,-82.0,1
Qualified,Partner Referral,BDR,Sales,5,1,4,2,847,611,-733.0,-740.0,0
Nurturing,Trade Show,SDR,Sales,6,4,2,2,38,1143,-16.0,-17.0,1
Working,Trade Show,SDR,Sales,1,0,1,0,999,-6,285.0,278.0,0
Nurturing,Outbound,BDR,Sales,1,1,0,0,1402,-172,-563.0,-566.0,0
Working,Outbound,AE,Sales,7,4,3,1,803,-109,-790.0,-807.0,1
Nurturing,Trade Show,BDR,Sales,1,0,1,0,729,40,-519.0,-544.0,1
Working,Web,BDR,Sales,6,2,4,4,1108,-42,-1091.0,-1113.0,0
Nurturing,Partner Referral,SDR,Sales,3,1,2,1,545,202,-73.0,-88.0,1
