status,lead_source,lead_owner_id,owner_role,owner_department,task_count,open_task_count,closed_task_count,high_priority_task_count,lead_age_days,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity,lead_is_converted,open_task_ratio,closed_task_ratio,high_priority_task_ratio,task_velocity,high_priority_velocity,task_count_per_owner_day,task_activity_recency_score,task_created_recency_score,lead_age_bucket,owner_tenure_bucket,task_count_bucket
Open,Web,005IAWyyPlUBLQDIva,SDR,Sales,3,2,1,0,603,390,-533.0,-539.0,1,0.6666666666666666,0.3333333333333333,0.0,0.004966887417218543,0.0,0.0076726342710997444,1.0,1.0,366_730,366_730,3_5
Nurturing,Outbound,0052vuTGNhPaf9DJtR,SDR,Sales,1,0,1,0,262,-156,846.0,836.0,1,0.0,1.0,0.0,0.0038022813688212928,0.0,-0.0064516129032258064,0.0011947431302270011,0.0011806375442739079,181_365,,1_2
Open,Partner Referral,005gvRs74Xd8fUlA3x,BDR,Sales,6,3,3,4,735,915,-678.0,-693.0,0,0.5,0.5,0.6666666666666666,0.008152173913043478,0.005434782608695652,0.006550218340611353,1.0,1.0,730_plus,730_plus,6_10
Nurturing,Outbound,005xi0Xi0wCwuciNbG,SDR,Sales,4,1,3,2,247,1176,245.0,223.0,1,0.25,0.75,0.5,0.016129032258064516,0.008064516129032258,0.0033984706881903144,0.004464285714285714,0.0040650406504065045,181_365,730_plus,3_5
Nurturing,Outbound,005ATkmG7VSdpihf48,SDR,Sales,2,1,1,1,1298,-1108,-1039.0,-1050.0,1,0.5,0.5,0.5,0.001539645881447267,0.0007698229407236335,-0.0018066847335140017,1.0,1.0,730_plus,,1_2
Open,Trade Show,005O8TxStNstfUeWj7,BDR,Sales,2,1,1,1,1146,398,-967.0,-989.0,0,0.5,0.5,0.5,0.0017436791630340018,0.0008718395815170009,0.005012531328320802,1.0,1.0,730_plus,366_730,1_2
Working,Outbound,005DJJzk8TFPHjwamm,BDR,Sales,0,0,0,0,680,855,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366_730,730_plus,0
Qualified,Trade Show,005CS61es1IwtecnA5,SDR,Sales,5,1,4,1,1328,-1250,-1201.0,-1209.0,0,0.2,0.8,0.2,0.003762227238525207,0.0007524454477050414,-0.0040032025620496394,1.0,1.0,730_plus,,3_5
Qualified,Trade Show,005mYnZlHWW2dnL0rt,BDR,Sales,6,3,3,2,731,824,-66.0,-93.0,0,0.5,0.5,0.3333333333333333,0.00819672131147541,0.00273224043715847,0.007272727272727273,1.0,1.0,730_plus,730_plus,6_10
Open,Outbound,005EhkAnpKcWuNovJ6,BDR,Sales,7,2,5,3,844,-85,-740.0,-742.0,1,0.2857142857142857,0.7142857142857143,0.42857142857142855,0.008284023668639054,0.0035502958579881655,-0.08333333333333333,1.0,1.0,730_plus,,6_10
