status,lead_source,lead_owner_id,owner_role,task_count,open_task_count,closed_task_count,high_priority_task_count,lead_age_days,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity,open_task_ratio,closed_task_ratio,high_priority_task_ratio,task_velocity,high_priority_velocity,task_count_per_owner_day,task_activity_recency_score,task_created_recency_score,lead_age_bucket,task_count_bucket,lead_is_converted
Open,Web,005IAWyyPlUBLQDIva,SDR,3,2,1,0,603,390,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0049668874172185,0.0,0.0076726342710997,1.0,1.0,366_730,3_5,1
Nurturing,Outbound,0052vuTGNhPaf9DJtR,SDR,1,0,1,0,262,-156,846.0,836.0,0.0,1.0,0.0,0.0038022813688212,0.0,-0.0064516129032258,0.0011947431302270011,0.0011806375442739079,181_365,1_2,1
Open,Partner Referral,005gvRs74Xd8fUlA3x,BDR,6,3,3,4,735,915,0.0,0.0,0.5,0.5,0.6666666666666666,0.0081521739130434,0.0054347826086956,0.0065502183406113,1.0,1.0,730_plus,6_10,0
Nurturing,Outbound,005xi0Xi0wCwuciNbG,SDR,4,1,3,2,247,1176,245.0,223.0,0.25,0.75,0.5,0.0161290322580645,0.0080645161290322,0.0033984706881903,0.004464285714285714,0.0040650406504065045,181_365,3_5,1
Nurturing,Outbound,005ATkmG7VSdpihf48,SDR,2,1,1,1,1298,-1108,0.0,0.0,0.5,0.5,0.5,0.0015396458814472,0.0007698229407236,-0.001806684733514,1.0,1.0,730_plus,1_2,1
Open,Trade Show,005O8TxStNstfUeWj7,BDR,2,1,1,1,1146,398,0.0,0.0,0.5,0.5,0.5,0.001743679163034,0.000871839581517,0.0050125313283208,1.0,1.0,730_plus,1_2,0
Working,Outbound,005DJJzk8TFPHjwamm,BDR,0,0,0,0,680,855,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366_730,0,1
Qualified,Trade Show,005CS61es1IwtecnA5,SDR,5,1,4,1,1328,-1250,0.0,0.0,0.2,0.8,0.2,0.0037622272385252,0.000752445447705,-0.0040032025620496,1.0,1.0,730_plus,3_5,0
Qualified,Trade Show,005mYnZlHWW2dnL0rt,BDR,6,3,3,2,731,824,0.0,0.0,0.5,0.5,0.3333333333333333,0.0081967213114754,0.0027322404371584,0.0072727272727272,1.0,1.0,730_plus,6_10,0
Open,Outbound,005EhkAnpKcWuNovJ6,BDR,7,2,5,3,844,-85,0.0,0.0,0.2857142857142857,0.7142857142857143,0.4285714285714285,0.008284023668639,0.0035502958579881,-0.0833333333333333,1.0,1.0,730_plus,6_10,1
Working,Trade Show,005scUETCztHB2VpGr,SDR,6,3,3,1,786,768,0.0,0.0,0.5,0.5,0.1666666666666666,0.0076238881829733,0.0012706480304955,0.0078023407022106,1.0,1.0,730_plus,6_10,1
Working,Trade Show,005H18uJWTVdyNheWe,BDR,1,1,0,1,84,31,1142.0,1120.0,1.0,0.0,1.0,0.0117647058823529,0.0117647058823529,0.03125,0.0008920606601248885,0.0008748906386701663,31_90,1_2,0
Nurturing,Trade Show,005YJKL1sxnz5KucCa,SDR,3,3,0,0,11,651,183.0,159.0,1.0,0.0,0.0,0.25,0.0,0.004601226993865,0.00625,0.005434782608695652,0_30,3_5,1
Open,Partner Referral,0051FeBviD8WOpEx9p,SDR,3,2,1,0,1,-3,43.0,25.0,0.6666666666666666,0.3333333333333333,0.0,1.5,0.0,-1.5,0.038461538461538464,0.022727272727272728,0_30,3_5,0
Nurturing,Trade Show,005PsOTr02Fp2pwCFZ,BDR,5,3,2,0,240,452,0.0,0.0,0.6,0.4,0.0,0.0207468879668049,0.0,0.0110375275938189,1.0,1.0,181_365,3_5,0
Open,Trade Show,005kGz3iLXUMdHQq3f,SDR,9,3,6,2,526,470,0.0,0.0,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.01707779886148,0.0037950664136622,0.019108280254777,1.0,1.0,366_730,6_10,1
Open,Inbound,005PcnSwvycOiPT9zy,SDR,3,2,1,0,155,721,477.0,458.0,0.6666666666666666,0.3333333333333333,0.0,0.0192307692307692,0.0,0.0041551246537396,0.002178649237472767,0.0020920502092050207,91_180,3_5,0
Working,Partner Referral,005Fg6NzJiUZlow1pr,BDR,1,1,0,1,127,1106,978.0,977.0,1.0,0.0,1.0,0.0078125,0.0078125,0.000903342366757,0.0010224948875255625,0.0010214504596527069,91_180,1_2,1
Working,Inbound,00566La41L76C1ZyfL,SDR,1,0,1,1,643,806,687.0,665.0,0.0,1.0,1.0,0.0015527950310559,0.0015527950310559,0.0012391573729863,0.0015015015015015015,0.0014534883720930232,366_730,1_2,1
Nurturing,Trade Show,005U1cnD3W8AfIM0Y9,BDR,3,3,0,3,548,518,0.0,0.0,1.0,0.0,1.0,0.0054644808743169,0.0054644808743169,0.0057803468208092,1.0,1.0,366_730,3_5,1
Nurturing,Partner Referral,005zWOoMnQrwuxqr1I,SDR,1,1,0,1,1425,-223,0.0,0.0,1.0,0.0,1.0,0.0007012622720897,0.0007012622720897,-0.0045045045045045,1.0,1.0,730_plus,1_2,1
Nurturing,Event,005Fg6NzJiUZlow1pr,BDR,9,4,5,3,1049,184,0.0,0.0,0.4444444444444444,0.5555555555555556,0.3333333333333333,0.0085714285714285,0.0028571428571428,0.0486486486486486,1.0,1.0,730_plus,6_10,1
Open,Outbound,005T3CcQW30Fc3HxzP,BDR,0,0,0,0,712,-367,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,366_730,0,1
Open,Trade Show,005wBTdruibiY0OPdW,AE,2,0,2,2,434,-201,0.0,0.0,0.0,1.0,1.0,0.0045977011494252,0.0045977011494252,-0.01,1.0,1.0,366_730,1_2,1
