status,lead_source,lead_owner_id,owner_role,task_count,open_task_count,closed_task_count,high_priority_task_count,lead_age_days,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity,open_task_ratio,closed_task_ratio,high_priority_task_ratio,task_velocity,high_priority_velocity,task_count_per_owner_day_clean,task_activity_recency_score,task_created_recency_score,priority_score,priority_bucket,engagement_score,urgency_score,activity_strength_score,recommended_action,lead_is_converted
Open,Web,005IAWyyPlUBLQDIva,SDR,3,2,1,0,603,390,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0049668874172185,0.0,0.0076726342710997444,1.0,1.0,46.466765423712694,Cool,0.4448520408163265,0.6108213191124188,0.29497619047619045,Nurture and monitor,1
Nurturing,Outbound,0052vuTGNhPaf9DJtR,SDR,1,0,1,0,262,0,846.0,836.0,0.0,1.0,0.0,0.0038022813688212,0.0,1.0,0.001194743130227,0.0011806375442739,26.752281813792088,Cool,0.25723469387755105,0.2839309357431829,0.2686309523809524,Nurture and monitor,1
Open,Partner Referral,005gvRs74Xd8fUlA3x,BDR,6,3,3,4,735,915,0.0,0.0,0.5,0.5,0.6666666666666666,0.0081521739130434,0.0054347826086956,0.006550218340611353,1.0,1.0,65.50873821282835,Warm,0.675015306122449,0.5800356048267045,0.7178452380952381,Follow up within 48 hours,0
Nurturing,Outbound,005xi0Xi0wCwuciNbG,SDR,4,1,3,2,247,1176,245.0,223.0,0.25,0.75,0.5,0.0161290322580645,0.0080645161290322,0.0033984706881903144,0.0044642857142857,0.0040650406504065,48.418613954960435,Cool,0.5462295918367347,0.361031462897774,0.5138095238095238,Nurture and monitor,1
Nurturing,Outbound,005ATkmG7VSdpihf48,SDR,2,1,1,1,1298,0,0.0,0.0,0.5,0.5,0.5,0.0015396458814472,0.0007698229407236,2.0,1.0,1.0,47.37826202235215,Cool,0.4975510204081632,0.45090465244575206,0.4486785714285714,Nurture and monitor,1
Open,Trade Show,005O8TxStNstfUeWj7,BDR,2,1,1,1,1146,398,0.0,0.0,0.5,0.5,0.5,0.001743679163034,0.000871839581517,0.005012531328320802,1.0,1.0,46.12506474344059,Cool,0.5067704081632652,0.4862737000647997,0.3099166666666667,Nurture and monitor,0
Working,Outbound,005DJJzk8TFPHjwamm,BDR,0,0,0,0,680,855,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.265578231292515,Cool,0.0739591836734694,0.8454761904761905,0.060166666666666674,Nurture and monitor,1
Qualified,Trade Show,005CS61es1IwtecnA5,SDR,5,1,4,1,1328,0,0.0,0.0,0.2,0.8,0.2,0.0037622272385252,0.000752445447705,5.0,1.0,1.0,51.88700351895079,Warm,0.4819948979591837,0.4439879857790854,0.7233809523809525,Follow up within 48 hours,0
Qualified,Trade Show,005mYnZlHWW2dnL0rt,BDR,6,3,3,2,731,824,0.0,0.0,0.5,0.5,0.3333333333333333,0.0081967213114754,0.0027322404371584,0.007272727272727273,1.0,1.0,60.85207154616168,Warm,0.6060867346938775,0.5809403667314664,0.6559761904761905,Follow up within 48 hours,0
Open,Outbound,005EhkAnpKcWuNovJ6,BDR,7,2,5,3,844,0,0.0,0.0,0.2857142857142857,0.7142857142857143,0.4285714285714285,0.008284023668639,0.0035502958579881,7.0,1.0,1.0,67.2608810699712,Warm,0.6325510204081632,0.5539998905409902,0.9506666666666668,Follow up within 48 hours,1
