id,name,account_number,owner_id,type,industry,annual_revenue,employee_count,billing_city,billing_state,billing_country,created_date,is_active
0015pczIF521zVHC8d,Acme Health 1,ACC-100000,005COStSs3dErO7Qyy,Customer,Healthcare,39012716,3558,Miami,FL,US,2022-02-09,false
0016LRRc4JCnnnPpSf,BlueSky Labs 2,ACC-100001,0059wV9ybGAGQOgvhj,Prospect,Manufacturing,32647221,509,Los Angeles,CA,US,2022-03-16,true
001ziyBYytWeiyfW6k,Vertex Systems 3,ACC-100002,0053OvJBQj7lluaSJM,Partner,Financial Services,26563826,2225,Miami,FL,US,2024-07-15,true
001zehWxlOKGPqPRi0,Acme Energy 4,ACC-100003,0052yGgxi1v4hCqV4x,Partner,Technology,15224462,4726,San Francisco,CA,US,2021-04-30,false
001UzvsW6lBtsW8kkJ,BlueSky Systems 5,ACC-100004,005TpaHIC8CTfHGP4i,Partner,Healthcare,33532776,4451,Charlotte,NC,US,2024-04-28,true
001OBheAV6nMzIVtL6,Summit Systems 6,ACC-100005,005PkYO2xaCUvet6zY,Prospect,Technology,1970549,1220,Denver,CO,US,2024-05-17,true
0018qZlGVTUIKu8byo,Northstar Labs 7,ACC-100006,005oTniFgpKl8lJKqn,Prospect,Education,21792528,1437,Chicago,IL,US,2024-12-13,true
001sSILuA8s8kZ2x9k,Stratus Foods 8,ACC-100007,005TpaHIC8CTfHGP4i,Customer,Healthcare,40925619,2616,Atlanta,GA,US,2025-02-12,true
001WUKo49F0tqou4Vc,Redwood Health 9,ACC-100008,005d2TMY2eGPYkWkSs,Customer,Financial Services,14571674,2054,Chicago,IL,US,2022-05-03,true
001cuaK4af4YWiYG1e,Acme Logistics 10,ACC-100009,005ZRAk3rxvD6mvf15,Partner,Education,46614554,1857,Charlotte,NC,US,2023-03-02,true
001Q8GEVK4YKuEj85F,Clearwater Technologies 11,ACC-100010,005DJJzk8TFPHjwamm,Prospect,Manufacturing,41681000,3964,Dallas,TX,US,2022-10-15,true
001GVNMasju7uiQqST,Cobalt Manufacturing 12,ACC-100011,005GrOeBn48jU6nOpE,Customer,Technology,3830978,3228,Minneapolis,MN,US,2021-04-20,false
0010qomeMGBNKoSFe2,Cobalt Health 13,ACC-100012,005mzHykyCWibqXEgp,Customer,Financial Services,27173582,3867,Seattle,WA,US,2022-08-27,false
0014YXLcCQcdQO1RkD,Stratus Manufacturing 14,ACC-100013,005xG5kruHOvgAC23A,Customer,Education,45293050,802,Miami,FL,US,2023-01-30,true
001Y0ha9ir37ek4PeT,Lighthouse Logistics 15,ACC-100014,005dJm5gIU7nUKZnv1,Customer,Retail,48436244,294,Charlotte,NC,US,2025-09-18,true
001zMICbFrbM0oJ1mQ,BlueSky Manufacturing 16,ACC-100015,005GnvlPPDq5hOoODG,Prospect,Education,4997096,722,Chicago,IL,US,2022-03-10,false
001AysnlhyaHaJJkll,Ironwood Group 17,ACC-100016,005lWDDSfm41preSiA,Customer,Technology,38261067,837,Philadelphia,PA,US,2025-11-24,true
001fkmeCLRZJnmrsZC,Ironwood Software 18,ACC-100017,005dJm5gIU7nUKZnv1,Prospect,Financial Services,46839593,1956,Philadelphia,PA,US,2024-09-03,true
001yTTR1f2srG3OITv,Acme Media 19,ACC-100018,00517kC03BFC8pxkQp,Prospect,Financial Services,18580468,3424,Los Angeles,CA,US,2025-08-02,true
001DgyKETtgZIx2h4k,Harbor Labs 20,ACC-100019,005g4fdGzuew1U6NXU,Customer,Healthcare,13436135,1654,Boston,MA,US,2025-08-09,true
001X0dgZo7HrBPXfmc,Nimbus Consulting 21,ACC-100020,0058Bwr0RkCwwLehpc,Customer,Retail,39884866,4526,Atlanta,GA,US,2022-07-16,true
001YDK2kx9N2OpOrNR,Northstar Foods 22,ACC-100021,005DleKhounx1YJ0rP,Partner,Retail,34945720,174,Charlotte,NC,US,2021-02-26,true
001Qmz8Tt9tpRb5Y2W,BlueSky Technologies 23,ACC-100022,005farfat1cfKFkByw,Prospect,Financial Services,15143761,3833,Los Angeles,CA,US,2022-04-04,true
001q911XjpmmSTrGeE,Pinnacle Technologies 24,ACC-100023,005I4QuXwZXCZDkjMX,Prospect,Financial Services,43489585,2673,San Diego,CA,US,2023-11-14,true
001hwP5Dz2zzmZqUrI,Clearwater Consulting 25,ACC-100024,005ROiSKxdkvxxfjgH,Partner,Technology,44483187,4084,Miami,FL,US,2021-11-04,true
001tk0MVutOrioye68,Stratus Logistics 26,ACC-100025,0058XwJMmgZgCCCItV,Partner,Financial Services,34545323,2469,Miami,FL,US,2024-04-09,true
001Quzjw6L8r5VpFOW,Harbor Retail 27,ACC-100026,005UyDSWXbJPhakryL,Customer,Education,21108143,3454,Philadelphia,PA,US,2025-02-26,true
001D3oll8nEe4MgH3r,Oakridge Financial 28,ACC-100027,005chtXE6kHD1j5gMk,Prospect,Manufacturing,20522315,3394,Charlotte,NC,US,2023-08-22,true
00156dJU3tLxFfVoLU,Redwood Partners 29,ACC-100028,005gXBXTL8NV8xfMOI,Partner,Technology,816317,3713,Seattle,WA,US,2024-03-12,true
001wxFInbobZb9eYAC,BlueSky Services 30,ACC-100029,005GrOeBn48jU6nOpE,Partner,Healthcare,49533700,3066,Boston,MA,US,2025-05-28,true
001AouPOs4WTIGYglT,Vertex Technologies 31,ACC-100030,00574uwHCzqanx744B,Customer,Technology,3568106,2452,Nashville,TN,US,2024-10-17,true
001rIV5fWwMK866zZB,Redwood Partners 32,ACC-100031,0055j5PkhKrYKIRTRf,Customer,Healthcare,49299473,1084,Dallas,TX,US,2025-12-24,true
001pyCY4oQxinDmDqG,Pinnacle Labs 33,ACC-100032,005EF1FFbGvvXzIjDl,Partner,Technology,3736999,958,San Francisco,CA,US,2024-12-27,false
001JNsroATaqGqhRnm,Ironwood Services 34,ACC-100033,005KXIvx3Ru4Hx5BVz,Partner,Healthcare,28606920,869,Dallas,TX,US,2024-12-08,true
