id,name,account_id,owner_id,stage_name,amount,probability,close_date,lead_source,lead_source_id,created_date
0064WjRwEVGWu3njm7,Cobalt Expansion 1,001X5nIM63kSCLhxpJ,005GnvlPPDq5hOoODG,Closed Won,211343,100,2024-01-20,Trade Show,00QAwyn0NrAH94UCZh,2023-10-28
006yW6R65ymjLMdwfg,Ironwood Expansion 2,0015CPAfT2KdyLr1qw,005oRycfOWj8YbLrlq,Proposal,36713,50,2025-10-26,Web,00QbXsKXWumN5WHz0D,2025-10-02
006r92fSU9ODtAbO7j,Nimbus Expansion 3,001dgEAfAgs5IQ9Dgn,005SbAnWPkaLqqFhXE,Closed Lost,151344,0,2022-08-25,Trade Show,00Q5yJSVI8eQXD3VTD,2022-07-05
006vnknFW3DXWpXqav,Clearwater Expansion 4,001Z97ECTeuIajVOQH,005xIxpup9aX5Yc366,Qualification,207903,25,2025-08-05,Web,00QeJuzmmMHW7hQwnB,2025-02-17
006OCLzOyAIkP8Zld0,Redwood Expansion 5,001GxU5yK2pCs9gpLd,005IeU7PAQYPcwR9VT,Closed Won,62372,100,2025-03-12,Trade Show,00QWeTzJJTNeQbKJPf,2025-01-19
006yNUWzKJCQ1ZtEV3,Vertex Expansion 6,001Be5rDGYDFbZLtm5,005gvWDGbO1EVmxn9m,Closed Won,247441,100,2023-05-11,Trade Show,00QLngxLgO7P9aZy6d,2023-01-08
006xxUDOoJFe1J4vdH,Stratus Expansion 7,001Tk3awFLxo1sv2VU,005g1giftkTe0BXVrH,Negotiation,84942,70,2024-08-21,Trade Show,00QouvMSg2xwOw6mki,2024-06-17
006ybXCkzIascr8HtB,Stratus Expansion 8,001ktHLxZ4mEdZxQkj,0059wV9ybGAGQOgvhj,Proposal,5117,50,2025-03-10,Web,00Q3JMG3oyloWwYlRK,2024-12-01
006pu6jOmVLJTXkwTD,Clearwater Expansion 9,001lFcRs1XUSagFyVm,005EQtkoEfdgXDf2kK,Negotiation,249466,70,2026-05-16,Partner Referral,00QmynDBc3gCSSOGz4,2025-12-26
006dHb2uTRINCaf1vH,Vertex Expansion 10,001QzQLCDSJFrgbcQd,005Pa6uUR0EkXHgr5D,Closed Won,88063,100,2025-01-29,Event,00QxoiYYrvBfk9MwqD,2024-10-28
006jkA6Hynj5HILfI2,Northstar Expansion 11,001Dcc0SQLFSmV023C,005ponU3oUJcEecoTy,Negotiation,46962,70,2026-01-24,Partner Referral,00QBhzvvU7lNjkohuH,2025-08-09
006eIGx4dCvLdjbziw,Nimbus Expansion 12,001jteprUFIAksCEjF,005CDjSs8Io3wfG3Ak,Qualification,158525,25,2022-12-20,Outbound,00QifjhKiOv9tJ7Sfu,2022-11-24
0066X3PSn58AvyjZv8,Summit Expansion 13,001X76hgKIJeIrTgUl,005r9q3iIp3WHLiZhI,Closed Won,247803,100,2025-11-06,Partner Referral,00QivK6A1DWPK4nB1C,2025-08-03
006RLi7qn9hrSMEGIY,BlueSky Expansion 14,0013OqsSKeeydsPNek,005FyZAQiHdXrvrQlY,Negotiation,237185,70,2025-03-01,Trade Show,00QY9cVzouZQCCfIIa,2024-09-30
006r6r5wwF3hEEUaDs,Lighthouse Expansion 15,001QfKNtjdWBiKxeZh,005GmCcmrt3DPvCZcO,Qualification,232975,25,2022-05-04,Trade Show,00QTaxVHq8U4xE6MIp,2022-01-07
006B2I7YGNMBtvIDFc,Stratus Expansion 16,001GBi8jaw1SIn5Rqz,005g1giftkTe0BXVrH,Closed Won,162504,100,2025-07-04,Partner Referral,00QGhDeLcHGKIM49Dm,2025-01-12
006JDlHpPLo1FM4d51,Clearwater Expansion 17,001omkFMu6e3jCefIJ,005GnvlPPDq5hOoODG,Negotiation,157109,70,2025-08-06,Partner Referral,00QGZI2mYNKVnKvWFy,2025-03-22
006nvnh9QkGGvyVExR,Cobalt Expansion 18,0014JtXoiNsrfV34IJ,005cVL9DQ83eH0EZfE,Negotiation,73051,70,2023-09-06,Outbound,00QEAZWnI2oy15Y1n5,2023-04-28
