id,order_number,account_id,opportunity_id,owner_id,status,effective_date,total_amount,contract_term_months,created_date
801Qqi9iQEPhBoztHQ,ORD-200000,001ANKoW1AEfNYUQI5,006ss9Fm1iRtSOJ2YM,005c3NF5GIwHluYW9b,Fulfilled,2025-01-04,118161,24,2024-12-26
801ngMqIiUR4xEsiyL,ORD-200001,001oGa0axHHiXdCvDF,00633tHPNjT3Jv9bUg,005gadkDjdrzTuBZQ0,Fulfilled,2022-06-25,215774,12,2022-06-13
801BQRexy4ZEeOMhfb,ORD-200002,00138z6LCXoxlM3hBI,006OUzMridkJ2VAJ8A,005wBTdruibiY0OPdW,Fulfilled,2024-03-21,161226,12,2024-03-12
801WkqFe1UN3ZDuJhk,ORD-200003,001uziZmJngX6OHE78,006COCQLYDSwj9eAyz,00517kC03BFC8pxkQp,Draft,2024-11-25,42836,36,2024-11-23
801M1hdNuhsm6VstMx,ORD-200004,001Mq44DeBaUUxlLUu,006BZoko0KJGG7bmkR,005ZgXPYFXOBU7G1tp,Draft,2024-09-08,52751,12,2024-08-27
801Li0s3JaZDfuvRL4,ORD-200005,001qrrnwvQqpKDSFZS,0062iAcHrF1JCJ831i,005I3dLDQYUNdUVw4Y,Fulfilled,2022-09-23,124648,12,2022-09-10
801BL5ov2WpNRRRzqG,ORD-200006,0013irbY3Cx8SlVR2J,006z5gRRGlFfceY7lI,005WgETdcCDX1SEp32,Activated,2025-03-16,292390,12,2025-03-02
8018IZ5GiZYUfsq25w,ORD-200007,001D2nArYGRNU1xYro,006vetYTM9mXPmVPRy,005rwMLn2o5Z0bgUFZ,Draft,2023-02-11,56369,12,2023-02-04
801IgN75rlMkxIgcBL,ORD-200008,001oPSpf33CFTnKckG,006xGrggPSgO9QdzRc,005xIxpup9aX5Yc366,Cancelled,2023-12-07,299652,36,2023-12-06
8013ZMpq3ih31IfNaS,ORD-200009,0013ndK2lCplMfJug1,006jOLPyqvJ90z3uw0,005TpaHIC8CTfHGP4i,Activated,2025-12-13,126493,24,2025-12-03
801mm7dDAWqrArgF7g,ORD-200010,001Tj2tQR83g4kIG28,006QaZrX6msiekFjvt,0059wya6DR3pIs3IPJ,Activated,2025-11-21,230275,24,2025-11-08
801gbwFhWvJT3Yw7eF,ORD-200011,001Nvv5uWNa5p2gJKL,006xmrVoOgWgcfntLb,005fjwPseptfcyBFSO,Activated,2022-10-11,261329,12,2022-10-10
801Ct0KEmg9aGpwzzA,ORD-200012,001MXYNnXH4abIbtYI,006hH89HVYHIcWc7YP,005TK374RFpXQFXq5p,Fulfilled,2023-05-27,147087,36,2023-05-20
801eISwNojwqknNS9Z,ORD-200013,00169WThStcN6hWcw0,006Sp8pyxlhsenTGYJ,005EQtkoEfdgXDf2kK,Cancelled,2024-07-20,273840,24,2024-07-15
801eDR2UKKWOHM5BDa,ORD-200014,001uwZyrWItPmEjuja,0066ZvXESwado14Aro,0058XwJMmgZgCCCItV,Draft,2023-11-27,202959,36,2023-11-26
801ZsjOs9uKCZxoN5w,ORD-200015,0013niSMbQn2lIE3pm,006JSEfF5wvQ4EYL7g,005COStSs3dErO7Qyy,Fulfilled,2022-01-10,166789,36,2021-12-30
801fpiElOq5QpKq4kq,ORD-200016,0015vXDMQW4Li6yWBm,006KwTRjGs16fIbqvi,005RpFPjmmumSx8sB2,Fulfilled,2024-12-09,290778,12,2024-12-01
8014KEF5QU0CFAMdsc,ORD-200017,0010vt4Yim08zTSCti,006wr4Fe0IKvZyCVrb,005SkyTvnPdXlfxxMu,Draft,2024-01-04,31542,12,2023-12-26
801JGxXSoP8qnrAgYd,ORD-200018,0014iHjKhssMqFAsNG,006JDD4MSo8CZrUhki,005SkyTvnPdXlfxxMu,Activated,2022-10-22,295444,24,2022-10-09
801hqgr5rKvNOXa26T,ORD-200019,001lJAPOFu1QvbXa9r,006kllGwwedvYFzQ5f,005GnvlPPDq5hOoODG,Activated,2022-02-14,26941,24,2022-02-02
801vRZot939kInPqjI,ORD-200020,001iAJZUKmsVF5YSsb,006LXKuqq7HkUOSLlb,005OHuMUHvi8wsLMNv,Draft,2025-07-06,157520,24,2025-07-04
801zc1XGYvQkjvTT9m,ORD-200021,0011olhZw39e8cTijc,0069tgOtcnDnmsZWXQ,005rwMLn2o5Z0bgUFZ,Fulfilled,2022-12-02,27054,36,2022-11-23
801e7MOhF85ACMpMOR,ORD-200022,001z7YHQB1wMxURpQB,0061B2E5gqTmz2X69a,005AQpXsPDqHdTKZrg,Fulfilled,2023-06-10,79488,36,2023-05-27
801cOV4m5110qZ8oxG,ORD-200023,0016MUISE5BNkddPrm,006y4nUffuNkWWGdgW,005I4QuXwZXCZDkjMX,Cancelled,2025-05-06,111880,12,2025-04-27
801WDjOcgrcKAsThwm,ORD-200024,00152YdKeiwPtWBFeA,006tKCKfis2VaqkK0Y,005zvrK8BJ2mrycCIE,Fulfilled,2023-06-26,294831,12,2023-06-21
801mpOxDPjsPGuVMwo,ORD-200025,001EVB5sCbb5qYbRFE,006qew2OZnmj9dJrCi,005B24wkYeA8WTwY25,Cancelled,2023-07-06,153743,36,2023-07-03
801t6bF9lVh6Kqnpjj,ORD-200026,001FIgE2yRQInRR2QA,006EqOyEDCIqjOOkm6,005gadkDjdrzTuBZQ0,Fulfilled,2025-11-26,186308,36,2025-11-12
801uzHj9RLqo8OgrCS,ORD-200027,001HnVz3sQMWxvuHG5,006b5AE2U2c8PGhFg1,005z7MbHiOpJ6R0JED,Fulfilled,2025-03-10,275235,24,2025-02-28
801nP24qFPP73jLbkU,ORD-200028,001szewTylEVlpm1P0,006vntovRhF3viyvMo,005o6FGxPqqWKpnCkp,Fulfilled,2025-08-04,63253,24,2025-07-25
801jNq2uqrbV8aZrgX,ORD-200029,001ClDGnrGQa3lu10k,006wvkP9TgKoB3iGO9,005B24wkYeA8WTwY25,Cancelled,2022-09-29,173813,12,2022-09-28
801ocNhfVJrT8r8RAE,ORD-200030,0015hMfgSy7cInmgyX,006Fyr6Q6QNN6joSab,005HMBcUaJasNagxn6,Activated,2023-07-05,143696,12,2023-06-28
8016RKX6XGQGSKSYyM,ORD-200031,001eCtAofjYKHFZIK1,006WwnaexDQXukgJtM,005B24wkYeA8WTwY25,Activated,2024-12-30,281011,24,2024-12-29
801wepvZFHp5Ab8KVr,ORD-200032,001xpJ7RVOfXluvsKm,0066qtsRUtF4Aa1XXU,005CL72UB9NlJw0t0Z,Fulfilled,2022-11-07,44290,12,2022-10-24
801POLGpSpuebg9I7d,ORD-200033,001sfecVl3uVl42my8,006f9xTHvGIQ1CA2dW,005Ho68SXnOO9IeJdv,Fulfilled,2024-03-01,258011,24,2024-02-27
