id,order_id,product_code,product_name,quantity,unit_price,discount_pct,line_total,service_start_date
802NaA9cWAFRxR6c3L,801Qqi9iQEPhBoztHQ,SKU-INT-410,Integration Connector,16,4689,5,75024,2024-10-27
802hzOhBCwnFsDLn5I,801ngMqIiUR4xEsiyL,SKU-SVC-300,Professional Services Pack,15,794,0,11910,2023-03-30
8021bB7tGdleG6ogZM,801BQRexy4ZEeOMhfb,SKU-SVC-300,Professional Services Pack,13,4988,10,64844,2022-12-29
802OfYGUfyi4w3h4Dd,801WkqFe1UN3ZDuJhk,SKU-INT-410,Integration Connector,1,390,5,390,2022-07-22
8026i4IOrE9jNCZ5j5,801M1hdNuhsm6VstMx,SKU-ANL-210,Analytics Add-on,15,1092,15,16380,2025-10-30
802b78tmosBpJsASxu,801Li0s3JaZDfuvRL4,SKU-CRM-100,CRM Platform Seat,26,949,0,24674,2025-06-26
802R94WgfxpKXBdzLA,801BL5ov2WpNRRRzqG,SKU-ANL-210,Analytics Add-on,23,2927,0,67321,2022-09-08
8028N3E48oZxJJsezg,8018IZ5GiZYUfsq25w,SKU-ANL-210,Analytics Add-on,23,4927,0,113321,2024-01-25
802Lxnb80RjSSvhSOO,801IgN75rlMkxIgcBL,SKU-SVC-300,Professional Services Pack,19,3369,20,64011,2022-09-11
8029xHzcEjDj3G9mjJ,8013ZMpq3ih31IfNaS,SKU-INT-410,Integration Connector,18,4959,15,89262,2023-11-11
802usySzKgClsPu00i,801mm7dDAWqrArgF7g,SKU-INT-410,Integration Connector,9,2045,15,18405,2024-09-13
802nLx3cxkfE91R8Uj,801gbwFhWvJT3Yw7eF,SKU-CRM-100,CRM Platform Seat,34,3142,15,106828,2024-05-16
802cIjVeI1Ibe5SUWC,801Ct0KEmg9aGpwzzA,SKU-CRM-100,CRM Platform Seat,24,2725,5,65400,2025-05-25
802I8GhtvQYujYX7Wc,801eISwNojwqknNS9Z,SKU-SVC-300,Professional Services Pack,13,3386,15,44018,2023-12-11
80248KyMmy6tt5tjxW,801eDR2UKKWOHM5BDa,SKU-SUP-500,Premium Support,2,237,0,474,2022-10-13
80231pXKOOrn0ldV2z,801ZsjOs9uKCZxoN5w,SKU-INT-410,Integration Connector,1,2805,20,2805,2025-02-26
8026gGCXaYIBa1fwyJ,801fpiElOq5QpKq4kq,SKU-SVC-300,Professional Services Pack,29,3251,10,94279,2022-10-17
802PG2g3vV5wz5MCXX,8014KEF5QU0CFAMdsc,SKU-SUP-500,Premium Support,33,4879,0,161007,2022-07-25
802Ig3xWNlNfI5ison,801JGxXSoP8qnrAgYd,SKU-CRM-100,CRM Platform Seat,30,3940,10,118200,2022-11-23
802Haiihe2YQfTWafB,801hqgr5rKvNOXa26T,SKU-ANL-210,Analytics Add-on,17,1582,10,26894,2025-08-05
802Sud0sQUr9eMsOyp,801vRZot939kInPqjI,SKU-INT-410,Integration Connector,15,1822,10,27330,2024-02-15
802beyzXZR1ryAhgDY,801zc1XGYvQkjvTT9m,SKU-INT-410,Integration Connector,31,2496,10,77376,2024-08-07
802lYzmuvbcpFiiABW,801e7MOhF85ACMpMOR,SKU-SVC-300,Professional Services Pack,34,2131,0,72454,2024-02-28
802AQ5VsD67Dt8ABaz,801cOV4m5110qZ8oxG,SKU-ANL-210,Analytics Add-on,36,2611,15,93996,2022-03-07
802k6ytjQM8IdYlz4j,801WDjOcgrcKAsThwm,SKU-SUP-500,Premium Support,37,177,20,6549,2024-03-30
802NAEKGVKxOVXxeSk,801mpOxDPjsPGuVMwo,SKU-SVC-300,Professional Services Pack,12,837,15,10044,2024-09-14
8022CXFIJ4Gw7hOqZU,801t6bF9lVh6Kqnpjj,SKU-INT-410,Integration Connector,2,2560,20,5120,2024-11-22
8029eWU4Tfx0iXiDr6,801uzHj9RLqo8OgrCS,SKU-SVC-300,Professional Services Pack,5,1074,5,5370,2023-04-13
802NNqEFM98CqPj881,801nP24qFPP73jLbkU,SKU-SVC-300,Professional Services Pack,23,3911,0,89953,2024-11-04
802f6BgI1hGkWq2joV,801jNq2uqrbV8aZrgX,SKU-SVC-300,Professional Services Pack,32,4495,0,143840,2022-01-23
8028uIkGxI20gQMHCk,801ocNhfVJrT8r8RAE,SKU-ANL-210,Analytics Add-on,18,2596,0,46728,2025-02-22
802ur84x3nPegk4U53,8016RKX6XGQGSKSYyM,SKU-SUP-500,Premium Support,15,4073,20,61095,2025-08-30
802mMWeHtBRMvTNhn2,801wepvZFHp5Ab8KVr,SKU-CRM-100,CRM Platform Seat,31,87,0,2697,2025-04-18
802dbaVXuOJQ4UFrCf,801POLGpSpuebg9I7d,SKU-INT-410,Integration Connector,20,2539,15,50780,2024-05-24
802DavHft9SL6fQMAI,801szJzvKSC4GFqByQ,SKU-CRM-100,CRM Platform Seat,9,4914,5,44226,2022-04-07
802txasxYJbmvkgPvr,801aqn1dBy9RYvkKa9,SKU-INT-410,Integration Connector,18,3939,5,70902,2022-01-10
802QsjWmzbGJc9Lf8d,80129nVu6G5tfkT9gW,SKU-CRM-100,CRM Platform Seat,25,3118,5,77950,2022-04-14
802P0AB7TEf4nQis0H,8012Hljd6lyUSC56mS,SKU-ANL-210,Analytics Add-on,25,4173,15,104325,2025-01-07
8028pLBIbH384QTNlU,801QzaIwqoB8JZzxPv,SKU-SVC-300,Professional Services Pack,33,2281,10,75273,2024-12-06
802KE3lf4Zsnu2gGY7,801dp07Hl00s3uLyk9,SKU-SUP-500,Premium Support,26,4023,0,104598,2024-12-07
802TgnQUShMuRkHuSz,801aDsivwCf2UUZhb4,SKU-ANL-210,Analytics Add-on,12,2078,20,24936,2024-09-01
8023WZn6mZWpyx0VBe,801kPtGw23yJiJsm3O,SKU-INT-410,Integration Connector,18,98,10,1764,2024-02-15
802LtA8xgdf6EmrAqi,801RICZ23DCnD6Rkqn,SKU-SUP-500,Premium Support,23,3078,20,70794,2023-05-29
8025hyw2fKrvzSBg0a,801AVSqcUliBzj1odg,SKU-SUP-500,Premium Support,38,3852,10,146376,2025-12-30
8024nLxSUJW4uja4WV,801oddBPvbvVaeZtxE,SKU-ANL-210,Analytics Add-on,11,4555,0,50105,2022-04-07
802VPP556C8Jd4repa,801RjHYLtWqj9fYH1u,SKU-SVC-300,Professional Services Pack,16,782,0,12512,2025-10-05
80253v3mClKYXztPe0,801yNYUrUlXhymikyN,SKU-CRM-100,CRM Platform Seat,19,4571,0,86849,2024-10-02
8021y4EysI716yoF6a,8017qhMyuM5wUvThhL,SKU-SUP-500,Premium Support,17,895,0,15215,2025-08-30
802A9Y2L9fxCwkexVK,801xrRnCY20jrWCHPw,SKU-CRM-100,CRM Platform Seat,7,1100,15,7700,2023-07-09
802fmgeCMR618MiicM,8014AEEHpYlMw4Pt9c,SKU-ANL-210,Analytics Add-on,15,2290,0,34350,2024-08-22
802D6LJjxFJcfaAMOx,8019XL3q77NTR9DlaO,SKU-ANL-210,Analytics Add-on,4,2289,0,9156,2023-09-20
802cR5HblZ5Gr0buXz,801VIyqk6LsReTRUBX,SKU-CRM-100,CRM Platform Seat,7,2927,0,20489,2025-10-21
802SUpA8vROBmpb7dq,801v1ZaTLnIQvyPswh,SKU-ANL-210,Analytics Add-on,14,1518,10,21252,2024-02-26
8025kMAFu1iFj7trcQ,801vqf1iXRY9BAYxIj,SKU-CRM-100,CRM Platform Seat,3,109,0,327,2022-08-17
8024qZdYOV8El5KmgC,801VJkbZeMr4VvPObX,SKU-CRM-100,CRM Platform Seat,19,2366,20,44954,2025-03-11
802BmkOl1wqks9maRV,801g53ej7nL2kuYvQZ,SKU-SVC-300,Professional Services Pack,16,4196,0,67136,2024-11-23
802Gm9ChCs45wryOiA,801HFTIB5giaxeZXmE,SKU-SVC-300,Professional Services Pack,39,4267,0,166413,2022-11-01
802S8o6IPsZbPh6XEW,801UXGFCEWtBZlPmUk,SKU-CRM-100,CRM Platform Seat,16,3161,5,50576,2024-09-15
802axD77FEK675gCU0,80192PdT8V6bocdwtq,SKU-INT-410,Integration Connector,35,182,10,6370,2022-07-04
802HLHYCRwDvEjLO0u,801GeCFm82ohHYcNAu,SKU-CRM-100,CRM Platform Seat,39,3060,0,119340,2022-08-12
802F7FneVyohgNQAMy,801VgUK6P2cZ6ZPjyK,SKU-SVC-300,Professional Services Pack,38,353,20,13414,2025-08-01
802OmfSE7JNEbc3q5t,8018UFG2tE2hYh6WHj,SKU-SUP-500,Premium Support,1,1507,5,1507,2023-08-25
802aTmlDoh0HytACOF,8012U0nrLMpprajyZm,SKU-CRM-100,CRM Platform Seat,8,4716,20,37728,2025-02-17
802lnAoJpHnQujvrAj,801zPQnaug018RuMjb,SKU-ANL-210,Analytics Add-on,15,4376,0,65640,2024-02-02
802MnQ9dQLB8m89UHt,801pLgYQv3d9UAPzlv,SKU-ANL-210,Analytics Add-on,5,4746,20,23730,2025-04-17
802rejmTS8LHGgTMEu,801Tbo80d9l4Zt16w7,SKU-SVC-300,Professional Services Pack,15,403,5,6045,2024-03-23
802lgW1HAh59ocln9S,801onvxKdInmQfJ2Qt,SKU-ANL-210,Analytics Add-on,23,4695,20,107985,2025-12-09
