,task_count,open_task_count,closed_task_count,high_priority_task_count,lead_age_days,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity,lead_is_converted,open_task_ratio,closed_task_ratio,high_priority_task_ratio,task_velocity,high_priority_velocity,task_count_per_owner_day,task_activity_recency_score,task_created_recency_score
task_count,1.0,0.7053633793452114,0.6978833422916495,0.5884435732053821,0.0102616948106377,-0.0026626712506540033,-0.2814273684869496,-0.28142489781970637,-0.0020554910681022244,0.09772164883166663,0.07752915520086401,0.07968876996230367,0.06767882142781746,0.05955612379752005,-0.007473444728933615,0.30933562506449147,0.3071665311751579
open_task_count,0.7053633793452114,1.0,-0.01542219341147922,0.41475955479120225,0.0036786010918926706,0.0017420437388760647,-0.19084796636463366,-0.19096754419573087,0.004673887954256843,0.6569167531683312,-0.5341702556741957,0.053120868668812556,0.04704257647086001,0.034888809070528555,-0.008723074682445752,0.21353186201340563,0.21224820237079364
closed_task_count,0.6978833422916495,-0.01542219341147922,1.0,0.410975150109832,0.010758076230814102,-0.005516045560527989,-0.19259066144008433,-0.19246643533585733,-0.007621880460000671,-0.5258988952648596,0.6490815437145161,0.058734230641093926,0.04793473559114597,0.048757108644003906,-0.0017281470682226538,0.22059078383071742,0.21882810988980445
high_priority_task_count,0.5884435732053821,0.41475955479120225,0.410975150109832,1.0,-0.010144850669808227,0.009005971053888878,-0.15448665606581316,-0.1542881342418149,0.0010632503512266246,0.05322680772327929,0.047672291609833384,0.7289611060729585,0.05262187995978368,0.10690091170225816,-0.0032320258035334923,0.1832458085130783,0.18101764409026974
lead_age_days,0.0102616948106377,0.0036786010918926706,0.010758076230814102,-0.010144850669808227,1.0,-0.644073425842377,-0.7863807858057472,-0.7864563745596569,0.013715276502974032,-0.009424381454023101,0.006205537400952309,-0.018787835385984934,-0.17140649260094099,-0.13584162856959967,-0.006035250581557762,0.4925010373465862,0.5058567221701343
owner_tenure_days,-0.0026626712506540033,0.0017420437388760647,-0.005516045560527989,0.009005971053888878,-0.644073425842377,1.0,0.5031976541595887,0.5031877162468288,-0.006067309410689151,0.0022246438238220675,-0.003254305635270707,0.018772149222520865,0.11709140917023862,0.09789220090527573,0.03912471906983942,-0.31564565972077574,-0.32357238816195216
days_since_last_task_created,-0.2814273684869496,-0.19084796636463366,-0.19259066144008433,-0.15448665606581316,-0.7863807858057472,0.5031976541595887,1.0,0.9998695369840614,-0.014827189641372484,-0.0016650252384719443,0.0016650252384719443,-2.1889524501550224e-05,0.1253143034340784,0.09882278332317358,0.0028522190938114964,-0.7464878546920168,-0.752951650478385
days_since_last_task_activity,-0.28142489781970637,-0.19096754419573087,-0.19246643533585733,-0.1542881342418149,-0.7864563745596569,0.5031877162468288,0.9998695369840614,1.0,-0.014936553163435748,-0.0018685402385924023,0.0018685402385924055,0.00019206854461292116,0.12544380077272937,0.09895251319341303,0.0028011195404926614,-0.746618941059534,-0.752918408199211
lead_is_converted,-0.0020554910681022244,0.004673887954256843,-0.007621880460000671,0.0010632503512266246,0.013715276502974032,-0.006067309410689151,-0.014827189641372484,-0.014936553163435748,1.0,0.0072158268965354004,-0.007646331680560373,0.005790068156754363,0.005232680008268979,0.00214438305713671,-0.008131584512074227,0.005862548118745059,0.00454034969329172
open_task_ratio,0.09772164883166663,0.6569167531683312,-0.5258988952648596,0.05322680772327929,-0.009424381454023101,0.0022246438238220675,-0.0016650252384719443,-0.0018685402385924023,0.0072158268965354004,1.0,-0.8565167689285451,0.042315517721327515,0.009289936294947523,-0.0015121297615078165,-0.00011371253673739991,0.07350390119141503,0.07241374799649816
