,task_count,open_task_count,closed_task_count,high_priority_task_count,lead_age_days,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity,open_task_ratio,closed_task_ratio,high_priority_task_ratio,task_velocity,high_priority_velocity,task_count_per_owner_day,task_activity_recency_score,task_created_recency_score,lead_is_converted
task_count,1.0,0.7053633793452114,0.6978833422916495,0.5884435732053821,0.0102616948106377,-0.0026626712506540033,-0.2623196335200926,-0.26093222521595394,0.09772164883166663,0.07752915520086401,0.07968876996230367,0.06767882142781746,0.05955612379752005,-0.007473444728933615,0.30933562506449147,0.3071665311751579,-0.0020554910681022244
open_task_count,0.7053633793452114,1.0,-0.01542219341147922,0.41475955479120225,0.0036786010918926706,0.0017420437388760647,-0.17930938080009948,-0.1786597807196004,0.6569167531683312,-0.5341702556741957,0.053120868668812556,0.04704257647086001,0.034888809070528555,-0.008723074682445752,0.21353186201340563,0.21224820237079364,0.004673887954256843
closed_task_count,0.6978833422916495,-0.01542219341147922,1.0,0.410975150109832,0.010758076230814102,-0.005516045560527989,-0.17808037101127203,-0.17683657807496928,-0.5258988952648596,0.6490815437145161,0.058734230641093926,0.04793473559114597,0.048757108644003906,-0.0017281470682226538,0.22059078383071742,0.21882810988980445,-0.007621880460000671
high_priority_task_count,0.5884435732053821,0.41475955479120225,0.410975150109832,1.0,-0.010144850669808227,0.009005971053888878,-0.14863118107583617,-0.14753501272245648,0.05322680772327929,0.047672291609833384,0.7289611060729585,0.05262187995978368,0.10690091170225816,-0.0032320258035334923,0.1832458085130783,0.18101764409026974,0.0010632503512266246
lead_age_days,0.0102616948106377,0.0036786010918926706,0.010758076230814102,-0.010144850669808227,1.0,-0.644073425842377,-0.42387104561011996,-0.416046062397567,-0.009424381454023101,0.006205537400952309,-0.018787835385984934,-0.17140649260094099,-0.13584162856959967,-0.006035250581557762,0.4925010373465862,0.5058567221701343,0.013715276502974032
owner_tenure_days,-0.0026626712506540033,0.0017420437388760647,-0.005516045560527989,0.009005971053888878,-0.644073425842377,1.0,0.2643058717287426,0.25920662326656063,0.0022246438238220675,-0.003254305635270707,0.018772149222520865,0.11709140917023862,0.09789220090527573,0.03912471906983942,-0.31564565972077574,-0.32357238816195216,-0.006067309410689151
days_since_last_task_created,-0.2623196335200926,-0.17930938080009948,-0.17808037101127203,-0.14863118107583617,-0.42387104561011996,0.2643058717287426,1.0,0.9995083831668942,-0.005216336565680281,0.0052163365656803466,-0.0010218835723128357,0.10261772144225598,0.08084039650894446,-0.002641871601833474,-0.7377355031402167,-0.720040174319392,-0.007609793213919388
days_since_last_task_activity,-0.26093222521595394,-0.1786597807196004,-0.17683657807496928,-0.14753501272245648,-0.416046062397567,0.25920662326656063,0.9995083831668942,1.0,-0.0059063950471738855,0.005906395047173928,-0.0004561444264470909,0.10070579744102633,0.07952060674819314,-0.0025943682377075213,-0.7226250121917223,-0.7039893370004131,-0.007818811488001492
open_task_ratio,0.09772164883166663,0.6569167531683312,-0.5258988952648596,0.05322680772327929,-0.009424381454023101,0.0022246438238220675,-0.005216336565680281,-0.0059063950471738855,1.0,-0.8565167689285451,0.042315517721327515,0.009289936294947523,-0.0015121297615078165,-0.00011371253673739991,0.07350390119141503,0.07241374799649816,0.007215826896535398
closed_task_ratio,0.07752915520086401,-0.5341702556741957,0.6490815437145161,0.047672291609833384,0.006205537400952309,-0.003254305635270707,0.0052163365656803466,0.005906395047173928,-0.8565167689285451,1.0,0.06227414183127807,0.0026992878053289007,0.010882697994058816,-0.0002804077634767029,0.08516305703909392,0.08245828171869601,-0.007646331680560375
high_priority_task_ratio,0.07968876996230367,0.053120868668812556,0.058734230641093926,0.7289611060729585,-0.018787835385984934,0.018772149222520865,-0.0010218835723128357,-0.0004561444264470909,0.042315517721327515,0.06227414183127807,1.0,0.012632070484836893,0.0718519000170435,-0.0037927270757163603,0.06398284282874957,0.061734519537638685,0.005790068156754355
task_velocity,0.06767882142781746,0.04704257647086001,0.04793473559114597,0.05262187995978368,-0.17140649260094099,0.11709140917023862,0.10261772144225598,0.10070579744102633,0.009289936294947523,0.0026992878053289007,0.012632070484836893,1.0,0.853808647583306,-0.008141011050486348,-0.1218278450445738,-0.12818138274015517,0.005232680008268977
high_priority_velocity,0.05955612379752005,0.034888809070528555,0.048757108644003906,0.10690091170225816,-0.13584162856959967,0.09789220090527573,0.08084039650894446,0.07952060674819314,-0.0015121297615078165,0.010882697994058816,0.0718519000170435,0.853808647583306,1.0,-0.0007837163922637543,-0.0901313606559275,-0.09510829458710468,0.0021443830571367083
task_count_per_owner_day,-0.007473444728933615,-0.008723074682445752,-0.0017281470682226538,-0.0032320258035334923,-0.006035250581557762,0.03912471906983942,-0.002641871601833474,-0.0025943682377075213,-0.00011371253673739991,-0.0002804077634767029,-0.0037927270757163603,-0.008141011050486348,-0.0007837163922637543,1.0,-0.0010142538927916194,-0.0008793537547540794,-0.008131584512074231
