,count,mean,std,min,25%,50%,75%,max
task_count,14000.0,3.544857142857143,1.8702812558975086,0.0,2.0,3.0,5.0,14.0
open_task_count,14000.0,1.7787142857142857,1.3396761759416564,0.0,1.0,2.0,3.0,9.0
closed_task_count,14000.0,1.7661428571428572,1.3258988789853097,0.0,1.0,2.0,3.0,10.0
high_priority_task_count,14000.0,1.1955,1.095546723350722,0.0,0.0,1.0,2.0,6.0
lead_age_days,14000.0,730.1929285714285,421.9761595990262,0.0,364.0,732.5,1100.0,1460.0
owner_tenure_days,14000.0,78.65264285714285,652.9707717496666,-1506.0,-390.0,71.5,549.25,1673.0
days_since_last_task_created,13595.0,81.2090474439132,199.47272703528512,0.0,0.0,0.0,0.0,1414.0
days_since_last_task_activity,13595.0,77.48576682603898,194.73981427102382,0.0,0.0,0.0,0.0,1394.0
open_task_ratio,14000.0,0.4856420995670996,0.31289299994914455,0.0,0.25,0.5,0.6666666666666666,1.0
closed_task_ratio,14000.0,0.485429329004329,0.312883163224018,0.0,0.25,0.5,0.6666666666666666,1.0
high_priority_task_ratio,14000.0,0.3251638167388167,0.2874641924946214,0.0,0.0,0.3333333333333333,0.5,1.0
task_velocity,14000.0,0.02044101286358602,0.1576436820161852,0.0,0.0027548209366391,0.0047770700636942,0.0095541401273885,6.0
high_priority_velocity,14000.0,0.007219083320377709,0.07123511771677576,0.0,0.0,0.00142146482607005,0.0032903763937835503,5.0
task_count_per_owner_day,14000.0,-0.00059896610756758,0.14052232290053462,-7.0,-0.006838191448314525,0.0015570263161083999,0.00732313363066495,4.0
task_activity_recency_score,14000.0,0.7438929321886502,0.43350431753160185,0.0,0.0580065359477124,1.0,1.0,1.0
task_created_recency_score,14000.0,0.7343989836921205,0.43845851538001784,0.0,0.03125,1.0,1.0,1.0
lead_is_converted,14000.0,0.5260714285714285,0.49933765177067335,0.0,0.0,1.0,1.0,1.0
