,task_count,open_task_count,closed_task_count,high_priority_task_count,lead_age_days,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity,open_task_ratio,closed_task_ratio,high_priority_task_ratio,task_velocity,high_priority_velocity,task_count_per_owner_day_clean,task_activity_recency_score,task_created_recency_score,priority_score,engagement_score,urgency_score,activity_strength_score,lead_is_converted
task_count,1.0,0.7053633793452114,0.6978833422916495,0.5884435732053821,0.0102616948106377,0.0020001396181445015,-0.2623196335200926,-0.26093222521595394,0.09772164883166663,0.07752915520086401,0.07968876996230367,0.06767882142781746,0.05955612379752005,0.40428982190795626,0.30933562506449147,0.3071665311751579,0.7041264501417277,0.6086631323241148,0.10820512153430123,0.8368421445361618,-0.0020554910681022244
open_task_count,0.7053633793452114,1.0,-0.01542219341147922,0.41475955479120225,0.0036786010918926706,0.006622231265055406,-0.17930938080009948,-0.1786597807196004,0.6569167531683312,-0.5341702556741957,0.053120868668812556,0.04704257647086001,0.034888809070528555,0.2836357201297889,0.21353186201340563,0.21224820237079364,0.49453555676884686,0.42646784965415474,0.07544118155247614,0.589741809083851,0.004673887954256843
closed_task_count,0.6978833422916495,-0.01542219341147922,1.0,0.410975150109832,0.010758076230814102,-0.003869693158126447,-0.17808037101127203,-0.17683657807496928,-0.5258988952648596,0.6490815437145161,0.058734230641093926,0.04793473559114597,0.048757108644003906,0.28369860245189077,0.22059078383071742,0.21882810988980445,0.49354970299338474,0.4276664220342892,0.07640647306716446,0.5845597562295555,-0.007621880460000671
high_priority_task_count,0.5884435732053821,0.41475955479120225,0.410975150109832,1.0,-0.010144850669808227,0.010169271324624935,-0.14863118107583617,-0.14753501272245648,0.05322680772327929,0.047672291609833384,0.7289611060729585,0.05262187995978368,0.10690091170225816,0.22703922820743797,0.1832458085130783,0.18101764409026974,0.7391907588613594,0.7478410671901291,0.07900148867153065,0.7518141291835493,0.0010632503512266246
lead_age_days,0.0102616948106377,0.0036786010918926706,0.010758076230814102,-0.010144850669808227,1.0,-0.5647348660796978,-0.42387104561011996,-0.416046062397567,-0.009424381454023101,0.006205537400952309,-0.018787835385984934,-0.17140649260094099,-0.13584162856959967,0.4060206487560327,0.4925010373465862,0.5058567221701343,-0.046179266814591086,-0.13131051742615416,-0.15692057741290835,0.21570433240420353,0.013715276502974032
owner_tenure_days,0.0020001396181445015,0.006622231265055406,-0.003869693158126447,0.010169271324624935,-0.5647348660796978,1.0,0.24839723928329596,0.24355763260345625,0.0033828494605277243,-0.00405979999311829,0.016132004318073666,0.12909205701789195,0.11058773044219361,-0.5729938082826509,-0.29586994620001283,-0.30367139488612976,-0.06298531331101465,0.07431592379726361,0.07288004812168775,-0.3380785557246867,-0.006091715809747964
days_since_last_task_created,-0.2623196335200926,-0.17930938080009948,-0.17808037101127203,-0.14863118107583617,-0.42387104561011996,0.24839723928329596,1.0,0.9995083831668942,-0.005216336565680281,0.0052163365656803466,-0.0010218835723128357,0.10261772144225598,0.08084039650894446,-0.22885653982789272,-0.7377355031402167,-0.720040174319392,-0.5189675840009375,-0.3775593452353541,-0.6231829924338314,-0.32868499377196453,-0.007609793213919388
days_since_last_task_activity,-0.26093222521595394,-0.1786597807196004,-0.17683657807496928,-0.14753501272245648,-0.416046062397567,0.24355763260345625,0.9995083831668942,1.0,-0.0059063950471738855,0.005906395047173928,-0.0004561444264470909,0.10070579744102633,0.07952060674819314,-0.224839622615539,-0.7226250121917223,-0.7039893370004131,-0.5123242264113258,-0.37293206322849143,-0.6137687223468564,-0.32548630458689826,-0.007818811488001492
open_task_ratio,0.09772164883166663,0.6569167531683312,-0.5258988952648596,0.05322680772327929,-0.009424381454023101,0.0033828494605277243,-0.005216336565680281,-0.0059063950471738855,1.0,-0.8565167689285451,0.042315517721327515,0.009289936294947523,-0.0015121297615078165,0.03644993606991579,0.07350390119141503,0.07241374799649816,0.08546761203883431,0.152989557993115,-0.10944846333784027,0.09897883773183035,0.007215826896535398
closed_task_ratio,0.07752915520086401,-0.5341702556741957,0.6490815437145161,0.047672291609833384,0.006205537400952309,-0.00405979999311829,0.0052163365656803466,0.005906395047173928,-0.8565167689285451,1.0,0.06227414183127807,0.0026992878053289007,0.010882697994058816,0.03350547289212656,0.08516305703909392,0.08245828171869601,0.08116158444898959,0.15498479242287855,-0.11075836095464581,0.08613426733877333,-0.007646331680560375
high_priority_task_ratio,0.07968876996230367,0.053120868668812556,0.058734230641093926,0.7289611060729585,-0.018787835385984934,0.016132004318073666,-0.0010218835723128357,-0.0004561444264470909,0.042315517721327515,0.06227414183127807,1.0,0.012632070484836893,0.0718519000170435,0.02236002347175957,0.06398284282874957,0.061734519537638685,0.4772053476790745,0.6274555526513764,-0.06181912292869697,0.3783733334375804,0.005790068156754355
task_velocity,0.06767882142781746,0.04704257647086001,0.04793473559114597,0.05262187995978368,-0.17140649260094099,0.12909205701789195,0.10261772144225598,0.10070579744102633,0.009289936294947523,0.0026992878053289007,0.012632070484836893,1.0,0.853808647583306,-0.06189149280760336,-0.1218278450445738,-0.12818138274015517,0.02288097370849512,0.048688638503501455,-0.031437678595622666,0.017207037735049044,0.005232680008268977
high_priority_velocity,0.05955612379752005,0.034888809070528555,0.048757108644003906,0.10690091170225816,-0.13584162856959967,0.11058773044219361,0.08084039650894446,0.07952060674819314,-0.0015121297615078165,0.010882697994058816,0.0718519000170435,0.853808647583306,1.0,-0.05003211173559438,-0.0901313606559275,-0.09510829458710468,0.05203834211488595,0.07723635433340877,-0.018678575485182362,0.03939269489657917,0.0021443830571367083
task_count_per_owner_day_clean,0.40428982190795626,0.2836357201297889,0.28369860245189077,0.22703922820743797,0.4060206487560327,-0.5729938082826509,-0.22885653982789272,-0.224839622615539,0.03644993606991579,0.03350547289212656,0.02236002347175957,-0.06189149280760336,-0.05003211173559438,1.0,0.3019204186139172,0.30682502863586936,0.3329426130637485,0.1781819179351578,-0.04746258372949928,0.6458107308429041,0.002688759468951459
task_activity_recency_score,0.30933562506449147,0.21353186201340563,0.22059078383071742,0.1832458085130783,0.4925010373465862,-0.29586994620001283,-0.7377355031402167,-0.7226250121917223,0.07350390119141503,0.08516305703909392,0.06398284282874957,-0.1218278450445738,-0.0901313606559275,0.3019204186139172,1.0,0.9808655452282823,0.6152181742164196,0.4937602193452082,0.518919319654475,0.3969138335764621,0.0058625481187450645
