,task_count,open_task_count,closed_task_count,high_priority_task_count,lead_age_days,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity,open_task_ratio,closed_task_ratio,high_priority_task_ratio,task_velocity,high_priority_velocity,task_count_per_owner_day_clean,task_activity_recency_score,task_created_recency_score,status_context_score,lead_source_context_score,owner_role_context_score,context_score,engagement_score,urgency_score,activity_strength_score,priority_score,priority_percentile,lead_is_converted
task_count,1.0,0.7053633793452114,0.6978833422916495,0.5884435732053821,0.0102616948106377,0.0020001396181445015,-0.2623196335200926,-0.26093222521595394,0.09772164883166663,0.07752915520086401,0.07968876996230367,0.06767882142781746,0.05955612379752005,0.40428982190795626,0.30933562506449147,0.3071665311751579,-0.001817195381810838,0.0075858321166869455,0.007918938273189076,0.005565877050833003,0.9139726206073354,0.1108027653936766,0.6614020945983293,0.5204594029792909,0.5131041031309379,-0.0020554910681022244
open_task_count,0.7053633793452114,1.0,-0.01542219341147922,0.41475955479120225,0.0036786010918926706,0.006622231265055406,-0.17930938080009948,-0.1786597807196004,0.6569167531683312,-0.5341702556741957,0.053120868668812556,0.04704257647086001,0.034888809070528555,0.2836357201297889,0.21353186201340563,0.21224820237079364,-0.0011077604158771443,0.004572453546180643,0.010244694692421993,0.0050364490403167015,0.6423610590141352,0.07601632868094896,0.46641641438485976,0.3659464562902492,0.36138213506669487,0.004673887954256843
closed_task_count,0.6978833422916495,-0.01542219341147922,1.0,0.410975150109832,0.010758076230814102,-0.003869693158126447,-0.17808037101127203,-0.17683657807496928,-0.5258988952648596,0.6490815437145161,0.058734230641093926,0.04793473559114597,0.048757108644003906,0.28369860245189077,0.22059078383071742,0.21882810988980445,-0.00144402130015203,0.00608042790033614,0.0008191185820690923,0.0027623107524982777,0.6401921496917936,0.0794895239534725,0.46169507450490355,0.36439861617140146,0.3586351547517897,-0.007621880460000671
high_priority_task_count,0.5884435732053821,0.41475955479120225,0.410975150109832,1.0,-0.010144850669808227,0.010169271324624935,-0.14863118107583617,-0.14753501272245648,0.05322680772327929,0.047672291609833384,0.7289611060729585,0.05262187995978368,0.10690091170225816,0.22703922820743797,0.1832458085130783,0.18101764409026974,0.006251835374985114,0.011956087418522601,-0.004334110754394141,0.010359159243765436,0.7174683174255054,0.0747167092299577,0.7330617196589788,0.4470358452092322,0.44190876202527457,0.0010632503512266246
lead_age_days,0.0102616948106377,0.0036786010918926706,0.010758076230814102,-0.010144850669808227,1.0,-0.5647348660796978,-0.42387104561011996,-0.416046062397567,-0.009424381454023101,0.006205537400952309,-0.018787835385984934,-0.17140649260094099,-0.13584162856959967,0.4060206487560327,0.4925010373465862,0.5058567221701343,0.004793936716374799,0.018089206645805767,0.0023524964163328483,0.014955373232874844,0.14350288944795422,0.1980755171840391,-0.4396372188544049,0.07306967177764577,0.0655151010534378,0.013715276502974032
owner_tenure_days,0.0020001396181445015,0.006622231265055406,-0.003869693158126447,0.010169271324624935,-0.5647348660796978,1.0,0.24839723928329596,0.24355763260345625,0.0033828494605277243,-0.00405979999311829,0.016132004318073666,0.12909205701789195,0.11058773044219361,-0.5729938082826509,-0.29586994620001283,-0.30367139488612976,-0.0023863961469927923,-0.011512510463412465,0.0008617412182013851,-0.008294562995707619,-0.08033548602194615,-0.12735758048529028,0.1138285865295416,-0.07352278442877369,-0.07171848693689428,-0.006091715809747964
days_since_last_task_created,-0.2623196335200926,-0.17930938080009948,-0.17808037101127203,-0.14863118107583617,-0.42387104561011996,0.24839723928329596,1.0,0.9995083831668942,-0.005216336565680281,0.0052163365656803466,-0.0010218835723128357,0.10261772144225598,0.08084039650894446,-0.22885653982789272,-0.7377355031402167,-0.720040174319392,0.00402657051776122,-0.018625061742913656,-0.0021831980519207853,-0.008660710379393062,-0.47387036653135745,-0.7772042161635171,0.04369105603337468,-0.4951163921935699,-0.4585124550925362,-0.007609793213919388
days_since_last_task_activity,-0.26093222521595394,-0.1786597807196004,-0.17683657807496928,-0.14753501272245648,-0.416046062397567,0.24355763260345625,0.9995083831668942,1.0,-0.0059063950471738855,0.005906395047173928,-0.0004561444264470909,0.10070579744102633,0.07952060674819314,-0.224839622615539,-0.7226250121917223,-0.7039893370004131,0.003699291907922792,-0.018115719178520215,-0.0019349291316897131,-0.00852723171600131,-0.46875070330963864,-0.764990774723879,0.0409096764937263,-0.488508529659166,-0.45184951980754245,-0.007818811488001492
open_task_ratio,0.09772164883166663,0.6569167531683312,-0.5258988952648596,0.05322680772327929,-0.009424381454023101,0.0033828494605277243,-0.005216336565680281,-0.0059063950471738855,1.0,-0.8565167689285451,0.042315517721327515,0.009289936294947523,-0.0015121297615078165,0.03644993606991579,0.07350390119141503,0.07241374799649816,-0.004117421560066962,-0.0035797871072960523,-0.0016757277285084364,-0.005691363447464459,0.10916515094305772,-0.11207851998341335,0.10726360636731691,0.004624538951012092,0.0073144167070096485,0.007215826896535398
closed_task_ratio,0.07752915520086401,-0.5341702556741957,0.6490815437145161,0.047672291609833384,0.006205537400952309,-0.00405979999311829,0.0052163365656803466,0.005906395047173928,-0.8565167689285451,1.0,0.06227414183127807,0.0026992878053289007,0.010882697994058816,0.03350547289212656,0.08516305703909392,0.08245828171869601,-0.005108076490824296,0.003854926288913878,-0.00791292215687853,-0.0039740746783486405,0.09947357059066901,-0.10775182959601567,0.09576876726406232,0.001993982675291483,0.003071374917149645,-0.007646331680560375
high_priority_task_ratio,0.07968876996230367,0.053120868668812556,0.058734230641093926,0.7289611060729585,-0.018787835385984934,0.016132004318073666,-0.0010218835723128357,-0.0004561444264470909,0.042315517721327515,0.06227414183127807,1.0,0.012632070484836893,0.0718519000170435,0.02236002347175957,0.06398284282874957,0.061734519537638685,0.009602657289256791,0.016230105207358948,-0.005632030580808613,0.014970355575973935,0.2979427340013448,-0.06799851596823397,0.5271037604670431,0.1881525725473799,0.18219268773453223,0.005790068156754355
task_velocity,0.06767882142781746,0.04704257647086001,0.04793473559114597,0.05262187995978368,-0.17140649260094099,0.12909205701789195,0.10261772144225598,0.10070579744102633,0.009289936294947523,0.0026992878053289007,0.012632070484836893,1.0,0.853808647583306,-0.06189149280760336,-0.1218278450445738,-0.12818138274015517,-0.001985874303354226,-0.0008202501920421637,-0.0015805690061572839,-0.0024495128411825932,0.0244659934891583,-0.09153315775814198,0.13448012823146235,-0.010030185626862576,-0.013434540665829001,0.005232680008268977
high_priority_velocity,0.05955612379752005,0.034888809070528555,0.048757108644003906,0.10690091170225816,-0.13584162856959967,0.11058773044219361,0.08084039650894446,0.07952060674819314,-0.0015121297615078165,0.010882697994058816,0.0718519000170435,0.853808647583306,1.0,-0.05003211173559438,-0.0901313606559275,-0.09510829458710468,-0.001266258177373284,0.00158327003457419,0.0033318791441900985,0.0010205616207223914,0.040849381539679507,-0.06636524404849445,0.13821759263561756,0.010825046450211444,0.0073030366810481855,0.0021443830571367083
task_count_per_owner_day_clean,0.40428982190795626,0.2836357201297889,0.28369860245189077,0.22703922820743797,0.4060206487560327,-0.5729938082826509,-0.22885653982789272,-0.224839622615539,0.03644993606991579,0.03350547289212656,0.02236002347175957,-0.06189149280760336,-0.05003211173559438,1.0,0.3019204186139172,0.30682502863586936,-0.0035113168673522378,0.013643798968399326,0.006071579828657829,0.007304859245702981,0.4156731435670768,0.09646816368892881,0.24116849057755455,0.2501575946671379,0.24901032023534694,0.002688759468951459
task_activity_recency_score,0.30933562506449147,0.21353186201340563,0.22059078383071742,0.1832458085130783,0.4925010373465862,-0.29586994620001283,-0.7377355031402167,-0.7226250121917223,0.07350390119141503,0.08516305703909392,0.06398284282874957,-0.1218278450445738,-0.0901313606559275,0.3019204186139172,1.0,0.9808655452282823,-0.014097509174523432,0.014630130682838902,-0.000548899081007388,-0.002036659442771207,0.5518205391914192,0.6900129546480287,0.016211378576367428,0.5305494396562768,0.5086823956471885,0.0058625481187450645
task_created_recency_score,0.3071665311751579,0.21224820237079364,0.21882810988980445,0.18101764409026974,0.5058567221701343,-0.30367139488612976,-0.720040174319392,-0.7039893370004131,0.07241374799649816,0.08245828171869601,0.061734519537638685,-0.12818138274015517,-0.09510829458710468,0.30682502863586936,0.9808655452282823,1.0,-0.0125974076488444,0.013277921775673978,-0.0018322588302686386,-0.0021140067315647275,0.547823298229098,0.6850900191428189,0.006357054765707064,0.5248455391536146,0.5039799242522619,0.004540349693291719
