status,lead_source,lead_owner_id,owner_role,task_count,open_task_count,closed_task_count,high_priority_task_count,lead_age_days,owner_tenure_days,days_since_last_task_created,days_since_last_task_activity,open_task_ratio,closed_task_ratio,high_priority_task_ratio,task_velocity,high_priority_velocity,task_count_per_owner_day,task_activity_recency_score,task_created_recency_score,lead_age_bucket,task_count_bucket,lead_is_converted,task_count_per_owner_day_clean,status_context_raw,lead_source_context_raw,owner_role_context_raw,status_context_score,lead_source_context_score,owner_role_context_score,context_score,engagement_score,urgency_score,activity_strength_score,priority_score,priority_percentile,priority_bucket,recommended_action,logistic_prob,xai_logit,xai_probability,reason_1,reason_2,reason_3,xai_summary
Open,Partner Referral,005ygjBY3eCoYXQvBW,SDR,2,2,0,1,31,1499,535.0,528.0,1.0,0.0,0.5,0.0625,0.03125,0.0013333333333333,0.0018903591682419,0.001865671641791,31_90,1_2,0,0.0013333333333333,0.5309560742601074,0.5307710996486508,0.5197045550698068,1.0,0.835,0.4477678571428571,0.8318035714285714,0.3647544642857143,0.2350440596661848,0.7597008928571428,55.215562861414114,0.6504464285714285,Warm,Follow up within 48 hours,0.4778355451126442,-0.08871596053055891,0.47783554511264426,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task count increased priority."
Qualified,Outbound,005vqvLHAtIsAKf8Wh,AE,4,2,2,1,928,47,0.0,0.0,0.5,0.5,0.25,0.0043057050592034,0.0010764262648008,0.0833333333333333,1.0,1.0,730_plus,3_5,0,0.0833333333333333,0.5299698118856344,0.5230338145896657,0.530961155961156,0.7454464285714286,0.5002678571428572,0.5523214285714285,0.6210089285714286,0.7821205357142857,0.2655891871467998,0.4649508928571428,53.09995240011829,0.5684821428571428,Warm,Follow up within 48 hours,0.6345419204592609,0.5517517743126831,0.6345419204592609,Lower days since last task activity increased priority,Higher task activity recency increased priority,Status = Qualified,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and status = qualified."
Working,Trade Show,005YJKL1sxnz5KucCa,SDR,2,1,1,1,1178,0,0.0,0.0,0.5,0.5,0.5,0.001696352841391,0.0008481764206955,-0.003883495145631,1.0,1.0,730_plus,1_2,1,2.0,0.5281847968545216,0.5229218060850713,0.5197045550698068,0.4942857142857143,0.336875,0.4477678571428571,0.4298883928571428,0.6014241071428571,0.2326606157182284,0.4020446428571428,40.224282757261136,0.116875,Cold,Add to nurture campaign,0.4789033647023011,-0.08443667175049134,0.4789033647023011,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Open,Inbound,005N1Jj8umhbHxSPTH,SDR,1,1,0,0,1329,0,0.0,0.0,1.0,0.0,0.0,0.0007518796992481,0.0,-0.0007604562737642,1.0,1.0,730_plus,1_2,0,1.0,0.5309560742601074,0.5285364145658262,0.5197045550698068,1.0,0.6688392857142857,0.4477678571428571,0.7736473214285714,0.43803125,0.2112856157182284,0.2558392857142857,48.60347918583257,0.3749107142857142,Cool,Nurture and monitor,0.5850223467088206,0.3434253747147955,0.5850223467088206,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Nurturing,Web,005fDW8pqYyhUsaaJT,SDR,3,3,0,2,1001,0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0029940119760479,0.0019960079840319,-0.0095541401273885,1.0,1.0,730_plus,3_5,1,3.0,0.5153911272513128,0.5322990365798584,0.5197045550698068,0.2554464285714286,1.0,0.4477678571428571,0.5545044642857143,0.7161964285714285,0.2566249014325141,0.5598169642857143,49.80102382868972,0.4242857142857142,Cool,Nurture and monitor,0.4785409845074929,-0.08588882241451794,0.4785409845074929,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Qualified,Inbound,005FA8TcXwRGIFLbcj,SDR,4,1,3,0,724,328,0.0,0.0,0.25,0.75,0.0,0.0055172413793103,0.0,0.0121580547112462,1.0,1.0,366_730,3_5,0,0.0121580547112462,0.5299698118856344,0.5285364145658262,0.5197045550698068,0.7454464285714286,0.6688392857142857,0.4477678571428571,0.6590982142857144,0.6944598214285714,0.294357044289657,0.4237321428571428,53.32115775726114,0.5776785714285714,Warm,Follow up within 48 hours,0.5856618795124805,0.3460602689833821,0.5856618795124805,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Nurturing,Event,005JwwpEL8xofdwkwl,SDR,6,4,2,4,456,379,86.0,61.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0131291028446389,0.0087527352297593,0.0157894736842105,0.0161290322580645,0.0114942528735632,366_730,6_10,1,0.0157894736842105,0.5153911272513128,0.5190130333478957,0.5197045550698068,0.2554464285714286,0.1707142857142857,0.4477678571428571,0.2642544642857143,0.7431383928571428,0.2968432941253778,0.7755803571428572,42.09404882376134,0.156875,Cold,Add to nurture campaign,0.4839947054459439,-0.06404305869707023,0.4839947054459439,Higher task created recency increased priority,Higher high priority task count increased priority,Lower days since last task activity increased priority,"This lead is ranked higher because higher task created recency increased priority, higher high priority task count increased priority, and lower days since last task activity increased priority."
Open,Event,005VLfsfX7zhRzFubF,SDR,2,2,0,0,130,667,901.0,892.0,1.0,0.0,0.0,0.015267175572519,0.0,0.0029940119760479,0.0011198208286674,0.0011086474501108,91_180,1_2,1,0.0029940119760479,0.5309560742601074,0.5190130333478957,0.5197045550698068,1.0,0.1707142857142857,0.4477678571428571,0.5993035714285715,0.2834642857142857,0.192838776448942,0.4828214285714285,40.25480615061112,0.1178571428571428,Cold,Add to nurture campaign,0.4464735553751038,-0.21492935602842003,0.4464735553751037,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task count increased priority."
Working,Outbound,005qhOaTRDj8l4v6Lo,SDR,5,3,2,1,150,1156,0.0,0.0,0.6,0.4,0.2,0.0331125827814569,0.0066225165562913,0.0043215211754537,1.0,1.0,91_180,3_5,0,0.0043215211754537,0.5281847968545216,0.5230338145896657,0.5197045550698068,0.4942857142857143,0.5002678571428572,0.4477678571428571,0.4870758928571428,0.8404241071428571,0.3726070442896569,0.6843705357142857,54.31343454297542,0.6160714285714286,Warm,Follow up within 48 hours,0.461580375768037,-0.1539820260447203,0.461580375768037,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher open task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher open task count increased priority."
Working,Trade Show,005iRmiKUtSSkR82g5,BDR,10,3,7,5,991,316,0.0,0.0,0.3,0.7,0.5,0.0100806451612903,0.0050403225806451,0.0315457413249211,1.0,1.0,730_plus,6_10,1,0.0315457413249211,0.5281847968545216,0.5229218060850713,0.5312605788761002,0.4942857142857143,0.336875,1.0,0.5403348214285715,0.9834821428571427,0.2578927585753713,0.7363705357142858,56.38352382868972,0.6938392857142858,Warm,Follow up within 48 hours,0.4573964270827557,-0.1708285148163409,0.4573964270827557,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher high priority task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher high priority task count increased priority."
Open,Outbound,005U2hcHrNtlfF5gcz,BDR,4,4,0,1,976,0,0.0,0.0,1.0,0.0,0.25,0.0040941658137154,0.0010235414534288,-0.0042283298097251,1.0,1.0,730_plus,3_5,0,4.0,0.5309560742601074,0.5230338145896657,0.5312605788761002,1.0,0.5002678571428572,1.0,0.82509375,0.732125,0.2598034728610855,0.5214866071428571,60.655220257261135,0.8373214285714285,Hot,Contact today,0.5435188821018135,0.17451711121999944,0.5435188821018135,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Open,Trade Show,005WgETdcCDX1SEp32,AE,1,1,0,1,921,0,539.0,515.0,1.0,0.0,1.0,0.0010845986984815,0.0010845986984815,-0.0012195121951219,0.001937984496124,0.0018518518518518,730_plus,1_2,1,1.0,0.5309560742601074,0.5229218060850713,0.530961155961156,1.0,0.336875,0.5523214285714285,0.6783705357142857,0.2800803571428572,0.1126769286371402,0.4055714285714286,40.17245071625707,0.1157142857142857,Cold,Add to nurture campaign,0.7247561056688309,0.9681775991931217,0.7247561056688309,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task count increased priority."
Working,Partner Referral,005XY8kCmJrc8XXcwE,BDR,3,2,1,0,1057,34,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0028355387523629,0.0,0.0857142857142857,1.0,1.0,730_plus,3_5,0,0.0857142857142857,0.5281847968545216,0.5307710996486508,0.5312605788761002,0.4942857142857143,0.835,1.0,0.7146785714285713,0.6223392857142857,0.2489820442896569,0.3328928571428571,51.83231847154685,0.5116071428571428,Warm,Follow up within 48 hours,0.4398609478971526,-0.2417264107739266,0.43986094789715263,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Partner Referral,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_partner referral."
Working,Event,005BLRswT6VWAL3Jkq,BDR,1,0,1,0,1387,0,0.0,0.0,0.0,1.0,0.0,0.0007204610951008,0.0,-0.0015384615384615,1.0,1.0,730_plus,1_2,1,1.0,0.5281847968545216,0.5190130333478957,0.5312605788761002,0.4942857142857143,0.1707142857142857,1.0,0.4821785714285714,0.4383258928571428,0.2026963300039427,0.2541964285714286,36.676514900118285,0.0603571428571428,Cold,Add to nurture campaign,0.5853089750985476,0.3446061457351749,0.5853089750985476,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Working,Event,005voBFvhNYadVKXTu,BDR,4,2,2,1,138,442,219.0,195.0,0.5,0.5,0.25,0.0287769784172661,0.0071942446043165,0.0090293453724604,0.0051020408163265,0.0045454545454545,91_180,3_5,0,0.0090293453724604,0.5281847968545216,0.5190130333478957,0.5312605788761002,0.4942857142857143,0.1707142857142857,1.0,0.4821785714285714,0.5730758928571429,0.2914553817847286,0.7263035714285715,46.75535788211329,0.3046428571428571,Cool,Nurture and monitor,0.4158299274715078,-0.3399158120401818,0.4158299274715078,Lower days since last task created increased priority,Higher task created recency increased priority,Owner = role_BDR,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and owner = role_bdr."
Nurturing,Event,005yopVEVGjrYSQu2q,SDR,4,1,3,0,532,618,0.0,0.0,0.25,0.75,0.0,0.0075046904315197,0.0,0.0064620355411954,1.0,1.0,366_730,3_5,1,0.0064620355411954,0.5153911272513128,0.5190130333478957,0.5197045550698068,0.2554464285714286,0.1707142857142857,0.4477678571428571,0.2642544642857143,0.6944598214285714,0.3207141871467998,0.4479285714285714,38.56008632868971,0.0874107142857142,Cold,Add to nurture campaign,0.3654227028854929,-0.5519043297873885,0.36542270288549306,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Nurturing,Inbound,005RpFPjmmumSx8sB2,AE,4,3,1,2,1161,489,0.0,0.0,0.75,0.25,0.5,0.0034423407917383,0.0017211703958691,0.0081632653061224,1.0,1.0,730_plus,3_5,1,0.0081632653061224,0.5153911272513128,0.5285364145658262,0.530961155961156,0.2554464285714286,0.6688392857142857,0.5523214285714285,0.4595089285714285,0.8084330357142857,0.2349641871467998,0.46709375,46.26888097154686,0.2855357142857143,Cool,Nurture and monitor,0.6381077008583625,0.5671604278450606,0.6381077008583625,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Nurturing,Web,005CyM4CU7TgZ0ieQC,BDR,5,5,0,0,410,1048,0.0,0.0,1.0,0.0,0.0,0.0121654501216545,0.0,0.0047664442326024,1.0,1.0,366_730,3_5,1,0.0047664442326024,0.5153911272513128,0.5322990365798584,0.5312605788761002,0.2554464285714286,1.0,1.0,0.6649508928571428,0.6970491071428571,0.3365891871467998,0.484625,55.48294347154684,0.6605357142857143,Warm,Follow up within 48 hours,0.4127797286786799,-0.3524858926308803,0.41277972867867996,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Open,Web,005bRaTeyEXQ8Puofm,BDR,4,4,0,0,592,586,0.0,0.0,1.0,0.0,0.0,0.0067453625632377,0.0,0.0068143100511073,1.0,1.0,366_730,3_5,1,0.0068143100511073,0.5309560742601074,0.5322990365798584,0.5312605788761002,1.0,1.0,1.0,1.0,0.6595178571428572,0.3123034728610855,0.4349464285714285,66.908925614404,0.9586607142857144,Hot,Contact today,0.4733800757244433,-0.10658047345664168,0.47338007572444335,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Open,Outbound,005xi0Xi0wCwuciNbG,SDR,5,1,4,2,1229,194,0.0,0.0,0.2,0.8,0.4,0.0040650406504065,0.0016260162601626,0.0256410256410256,1.0,1.0,730_plus,3_5,1,0.0256410256410256,0.5309560742601074,0.5230338145896657,0.5197045550698068,1.0,0.5002678571428572,0.4477678571428571,0.7146473214285715,0.8530357142857143,0.2256606157182284,0.5008571428571429,57.42499704297542,0.7338392857142857,Warm,Follow up within 48 hours,0.5499075471785997,0.20029715568140333,0.5499075471785996,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Nurturing,Partner Referral,0052yGgxi1v4hCqV4x,SDR,1,1,0,0,1351,0,0.0,0.0,1.0,0.0,0.0,0.0007396449704142,0.0,-0.0059171597633136,1.0,1.0,730_plus,1_2,1,1.0,0.5153911272513128,0.5307710996486508,0.5197045550698068,0.2554464285714286,0.835,0.4477678571428571,0.4967544642857142,0.43803125,0.2078927585753713,0.2550892857142857,37.41847918583257,0.0715178571428571,Cold,Add to nurture campaign,0.6021533789741772,0.41444563850474336,0.6021533789741772,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Working,Partner Referral,005Xq8vs8ialvuJ4ap,SDR,8,5,3,3,1211,0,0.0,0.0,0.625,0.375,0.375,0.0066006600660066,0.0024752475247524,-0.0073260073260073,1.0,1.0,730_plus,6_10,0,8.0,0.5281847968545216,0.5307710996486508,0.5197045550698068,0.4942857142857143,0.835,0.4477678571428571,0.6042321428571428,0.9740892857142855,0.2282677585753712,0.7117991071428572,57.61709525726114,0.740625,Warm,Follow up within 48 hours,0.4897893722441884,-0.04084818993009778,0.48978937224418845,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher open task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher open task count increased priority."
Working,Web,005sW3tnobKnIyN0Nz,SDR,4,3,1,1,839,0,0.0,0.0,0.75,0.25,0.25,0.0047619047619047,0.0011904761904761,-0.0049937578027465,1.0,1.0,730_plus,3_5,0,4.0,0.5281847968545216,0.5322990365798584,0.5197045550698068,0.4942857142857143,1.0,0.4477678571428571,0.6619821428571429,0.7663973214285714,0.2778749014325141,0.5566473214285714,55.70995240011829,0.6696428571428571,Warm,Follow up within 48 hours,0.3727386242159699,-0.5204858864031954,0.3727386242159699,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lead = source_Web,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lead = source_web."
