status,lead_source,owner_role,priority_bucket,recommended_action,lead_is_converted,xai_probability,reason_1,reason_2,reason_3,xai_summary
Open,Partner Referral,SDR,Warm,Follow up within 48 hours,0,0.47783554511264426,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task count increased priority."
Qualified,Outbound,AE,Warm,Follow up within 48 hours,0,0.6345419204592609,Lower days since last task activity increased priority,Higher task activity recency increased priority,Status = Qualified,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and status = qualified."
Working,Trade Show,SDR,Cold,Add to nurture campaign,1,0.4789033647023011,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Open,Inbound,SDR,Cool,Nurture and monitor,0,0.5850223467088206,Lower days since last task activity increased priority,Higher task activity recency increased priority,Lower lead age increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and lower lead age increased priority."
Nurturing,Web,SDR,Cool,Nurture and monitor,1,0.4785409845074929,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Qualified,Inbound,SDR,Warm,Follow up within 48 hours,0,0.5856618795124805,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task ratio increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task ratio increased priority."
Nurturing,Event,SDR,Cold,Add to nurture campaign,1,0.4839947054459439,Higher task created recency increased priority,Higher high priority task count increased priority,Lower days since last task activity increased priority,"This lead is ranked higher because higher task created recency increased priority, higher high priority task count increased priority, and lower days since last task activity increased priority."
Open,Event,SDR,Cold,Add to nurture campaign,1,0.4464735553751037,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task count increased priority."
Working,Outbound,SDR,Warm,Follow up within 48 hours,0,0.461580375768037,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher open task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher open task count increased priority."
Working,Trade Show,BDR,Warm,Follow up within 48 hours,1,0.4573964270827557,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher high priority task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher high priority task count increased priority."
Open,Outbound,BDR,Hot,Contact today,0,0.5435188821018135,Lower days since last task activity increased priority,Higher task activity recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task activity increased priority, higher task activity recency increased priority, and higher closed task count increased priority."
Open,Trade Show,AE,Cold,Add to nurture campaign,1,0.7247561056688309,Lower days since last task created increased priority,Higher task created recency increased priority,Higher closed task count increased priority,"This lead is ranked higher because lower days since last task created increased priority, higher task created recency increased priority, and higher closed task count increased priority."
